,title,venue,date,hosting_university,regulator_supervisor,speaker_1,speaker_2,speaker_3,number_participants,topics_1,topics_2,topics_3,results_1,results_2,results_3,new_insights_main_take_aways,remarks,timestamp
1,BIG DATA ANALYTICS,Cyprus Securities and Exchange Commission,2019-04-12,Panteion University,Cyprus Securities and Exchange Commission,Veni Arakelian,"Nikos Markakis, Head of Bond Desk, NBG Asset Management",#NV,50,Big Data,Machine Learning,The practitioners perspective (Presented by N.M.),The audience was very interested in all the topics,The level of knowledge was poor to understand the use cases,Very confused with the Trade Repository System and the EMIR data,More on point (3) of the main results,"The absence of proprietary data from ESMA makes the topics of low or off-interest, making consequently harder our goal to train the participants and make their day to day easier (and more accurate)",1557914328
2,SupTech workshop I ,Congress Centre of the Czech National Bank,2019-03-14,Masaryk University,Czech National Bank,Oleg Deev,Štefan Lyócsa,#NV,29,Background Session I – Standard methods,Background Session II – Advanced methods,Background Session III – Logistic regression,Trainig in quantifying P2P loan risk-factors,Training in improving prediction models (with applications in P2P lending),Training in credit risk analysis in P2P lending,#NV,#NV,1557931435
3,SupTech Workshop II,Congress Centre of the Czech National Bank,2019-05-07,Masaryk University,Czech National Bank,Štefan Lyócsa,#NV,#NV,17,Use Case I – Network-based scoring models in P2P lending,Use Case II – Clustered scoring models in P2P lending,Use Case III – Spatial regression scoring models in P2P lending,Presentation and discussion of Use Case I,Presentation and discussion of Use Case II,Presentation and discussion of Use Case III,#NV,#NV,1557931552
4,Vilnius Suptech on BDA,"Vilnius, Lithuania",2019-05-16,Kaunas University of Technology,"Bank of Lithuania, Latvian FINANCIAL AND CAPITAL MARKET COMMISSION, Estonian Finantsinspektsioon",assoc. prof. Audrius Kabasinskas,assoc. prof. Kristina Sutiene,#NV,54,Network based Scoring models,Clustered scoring models,Spatial regression scoring models,understanding of analytical methods in data science,deeper look at credit scoring models,understanding of risk analysis,"Presentations to the analysts from Baltic states market regulators were given and main outcomes are:
1. basics of BigData analytics
2. credit scoring models (using logistic regression, decision trees etc.)",Market regulators were expecting more regulation linked presentations than analytics.,1558016127
5,Suptech Workshop BDA I,Consob - Rome (conference call with Consob - Milan),2019-03-25,Organized by Polimi,Consob,Marazzina Daniele,Azzone Michele,#NV,20,Math and statistical introduction,Sentiment Analysis,#NV,reaching a common framework,show an application of sentiment analysis,#NV,#NV,#NV,1558085293
6,Suptech Workshop BDA II,Consob - Rome (conference call with Consob - Milan),2019-04-09,Organized by Polimi,Consob,Marazzina Daniele,Azzone Michele,#NV,25,Introduction to trees and classification,Sentiment Analysis,#NV,reaching a common framework,show an application of sentiment analysis,#NV,#NV,#NV,1558085368
7,Suptech Workshop BDA III,Consob - Rome (conference call with Consob - Milan),2019-05-06,Organized by Polimi,Consob,Marazzina Daniele,Azzone Michele,#NV,22,Use Case I,Use Case II,#NV,Theoretical section on both cases,Coding session on both cases,#NV,">Explain how networks can enhance classification.
>Understand the code (replicability)",#NV,1558085473
8,Suptech MFSA,Malta,2019-02-28,University of Pavia,Malta Financial Services Authority,Paolo Giudici,#NV,#NV,#NV,High level overview of the project,Network models,"Use case I, Use case II, Use case III",Improvement of the slide material  and of the workshop format (this is the first suptech in which it was presented),Understanding of the training need of the regulator,Useful feedback for the project,"1. To be effective, workshops should be divided into: a) a high level part, directed to a a broad audience; b) a more technical part, directed to the interested parties
2. The received feedback is that network models, that use networking data among borrowers and lenders in a peer to peer platform, may be useful, for both descriptive and predictive purposes.
3. There is strong interest on further workshops, about AI and blockchain applications",The next workshop will  be organised in the fall of 2019,1558094246
9,BIG DATA ANALYTICS,"Hellenic Capital Market Commission, 1 Kolokotroni & Stadiou Str., 105 62 Athens",2019-04-17,Panteion University,Hellenic Capital Market Commission,Veni Arakelian,Paolo Giudici,#NV,25,Big data,Machine learning,Generalized linear models,Very interested in all the topics,#NV,#NV,"The audience was very focus and addressed very specific questions. I've been asked to deliver an excel code for the k-means methodology, risk factors on mutual funds, and further analysis on commodities regulation",#NV,1558096017
10,"Big Data and Artificial Intelligence: Risks, Challenges and Applications","ACPR 4 Place de Budapest, 75009 Paris",2019-03-21,Paris 1 Panthéon-Sorbonne University,"ACPR, Banque de France, AMF","Dominique Guégan, Marc-Antoine Ledieu, Laurence Barry, Florence G'Sell","Farid Oukaci, Thanh-Long Huynh, Bertrand Tillay-Doledec, Djamel Mostefa, Jeremie Abiteboul","Su Yang, Olivier Fliche, Louis Abraham, David Bounie, Peter Addo, David Hagen",90,Big Data,Artificial Intelligence,Regulation,See CR_21Mars_Bogroff-Guegan.pdf in Dropbox_Fintech / Organisers_feedback_and_slides / Paris,#NV,#NV,See CR_21Mars_Bogroff-Guegan.pdf in Dropbox_Fintech / Organisers_feedback_and_slides / Paris,#NV,1558173527
11,Big Data SupTech Workshop Hungary ,MNB Building Budapest,2019-05-15,ZHAW,Central Bank of Hungary,Branka Hadji Misheva,Joerg Osterrieder,Jochen Papenbrock,50,Big Data Analytics,P2P Lending,Network Models and Credit Scoring,"One main opportunity that Big Data can bring is related with leveling the playing field or specifically, it could allow smaller companies to compete with larger financial players or to take advantage of unused (non-traditional) data sources or more advanced methodologies. In this context, fast adaptation of the technology can also lead to increased cooperation between traditional financial intermediaries and Fintech companies. In addition to this, Big Data is likely to have positive implications on the availability and affordability of financial products and services for some consumers","P2P may offer many opportunities including greater convenience, lower transactional costs, wider access to credit, etc. However, the business model carries inherent risks. From the perspective of investors, they are at risk of losing their investment whereas borrowers are at risk of capital drying up or becoming more expensive in the event of a shrinking in the investor pool. From a financial stability context, several concerns are identified. First, the source of funding is very sensitive to investors remaining confident in the platforms. Second, under most business models, investors cannot rely on deposit insurance and further, it is not clear how they are protected in the event of platform failure. Finally, P2P platforms receive revenues in proportion to the loan volume originated. They therefore want to maximize volume even at the expense of credit standards which in turn can lead to bad debt accumulation.","Many regulatory and supervisory bodies have considered the risk and benefits of innovative business models in the credit space. Furthermore, they have also tried to either integrate novel business models in existing legislation or propose new legislation addressing some of the risk. However, some issues still remain. There are problematic incentives for platforms that rate credit and originate loans without holding the risk of these loans. In addition, when investor returns are guaranteed by platforms, investors have no incentive to distinguish among risk categories. In the context particularly of the difference in risk management, big data can help improve risk management practices or specifically, improve credit risk estimation. In terms of how, this can be achieved either by incorporating more data in the scoring or through better methodologies that are also a side product of big data technological progress.","Use of Big Data for Central banks:
- Use of internet-based data to capture depositors’ expectations or more specifically, use of Google searches to predict deposit run on banks.
- Automatic internet data collection of sale prices for selected elements within the inflation figures for the purpose of forecasting short-run inflation developments. ",#NV,1558342160
12,Suptech Workshop II ,Congress Centre of the Czech National Bank,2019-05-17,Masaryk University,Czech National Bank,"Michal Kročil, Chief Risk Officer, Twisto","Adam Šoukal, Co-founder and CEO, Roger a.s.","Martin Řehák, Founder and CEO, Bulletproof AI",21,One-click payment. Data + Technology = Great UX + Accurate risk,Electronic Data Interchange in Financial Technologies,Machine Learning behind the Scenes: Pitfalls and Origin of Bias ,Discussion of the pitfalls of data collection,Discussion of the advantages of technical integration with other databases and platforms,Discussion of the possible ways to regulate the financial stability of fintech applications,"What exactly should be regulated in fintech firms?
- discrimination of clients due to unavailability of data
- personal responsibility of model builders
- technical robustness of machine learning models to fraud/attacks
- accuracy of used models

What regulators should control in fintech firms?
- the quality of data collection and preparation
- the complexiness of data and model features
- testing of models on own data samples (created by the regulator with known and potential misspecifications and outliers)
- stress testing based on sectoral development and different hypotheses (not a macroeconomic stress scenario)",#NV,1558453505
13,SupTech 1 - Credit Risk and P2P lending,"Hanfa headquarters, Zagreb, Croatia",2019-03-22,University of Rijeka,hanfa (Croatia),Saša Žiković,#NV,#NV,21,Big data analytics,P2P lending risk management,Linear regressions (simple and multiple),The participants from the regulator were introduced to the big data analytics,P2P lending concepts were explained and connected risks,Linear regression was explained and simple coding examples given,"This was an introductory day so the participants from the regulator were introduced to the concepts of big data analytics, statistical learning, P2P lending risk and linear regressions.   ",#NV,1558471459
14,Suptech 1 - Credit Risk in P2P lending,"HANFA headquarters, Zagreb, Croatia",2019-03-29,"University of Rijeka, Faculty of Economics and Business","Croatian Financial Services Supervisory Agency (HANFA), Croatia","Prof. Saša Žiković, PhD",#NV,#NV,16,Simple and multiple linear regression - Coding,Logistic regression,Logistic regression and goodness of fit,participants from HANFA tried a couple of coding example dealing with simple and multiple linear regression,participants were introduced to the concepts and reasons behind the use of logistic regression,participants were introduced to the notion and measures of goodness of fit,The Croatian regulator (HANFA) had a very positive experience and reactions to being able to immediately implement the theoretical notions explained on real life examples.,#NV,1558519641
15,Suptech 1 - Credit Risk in P2P lending,"HANFA headquarters, Zagreb, Croatia",2019-04-05,"University of Rijeka, Faculty of Economics and Business","Croatian Financial Services Supervisory Agency (HANFA), Croatia","Prof. Ivana Tomas Žiković, PhD","Prof. Saša Žiković, PhD",#NV,17,Use Case 1,Use Case 2,#NV,Participants from HANFA worked through the theoretical and practical part of the Use Case 1 ,Participants from HANFA worked through the theoretical and practical part of the Use Case 2,#NV,The Croatian regulator (HANFA) were generally satisfied but had some complaints regarding the very steep learning curve that is expected from them to be able to follow and implement the presented cases,#NV,1558521003
16,Suptech 1 - Credit Risk in P2P lending,"HANFA headquarters, Zagreb, Croatia",2019-04-12,"University of Rijeka, Faculty of Economics and Business","Croatian Financial Services Supervisory Agency (HANFA), Croatia","Prof. Ivana Tomas Žiković, PhD","Prof. Saša Žiković, PhD",#NV,17,Use Case 3,Credit risk modelling using discrete-time hazard models,#NV,participants from HANFA worked through the theoretical and practical part of the Use Case 1,participants were introduced to the concepts and modelling of discrete-time hazard models,#NV,The Croatian regulator (HANFA) was generally satisfied but had some complaints regarding the very steep learning curve that is expected from them to be able to follow and implement the presented cases,#NV,1558521245
17,SupTech Switzerland ,State Secretariat for International Finance,2019-04-03,ZHAW,State Secretariat for International Finance,Branka Hadji Misheva,Jörg Osterrieder,Harald Bärtschi,5,"Introduction of the Project’s goal, activities and network",Big Data/AI and Blockchain: Introduction of topics covered ,Use cases of fintech risk management tools,Currently they are engaged in many FinTech-related projects,Great interest in the risk concerns emerging from the application of AI in finance ,Great need for use cases coming from other regulators within EU,#NV,#NV,1558600497
18,BDA Suptech Workshop iv,Rome (conference call with Milan),2019-05-23,Polimi,Consob,Azzone Michele,Marazzina Daniele,#NV,26,Use Case III,Brainstorming,#NV,How to apply the codes to real cases,#NV,#NV,#NV,#NV,1558613217
