,title,regulator.supervisor,topics_1,topics_2,topics_3,topics_4,topics_5,results_1,results_2,results_3,results_4,results_5,new_insights_main_take_aways,remarks,timestamp
1,BDA Workshop,Consob,Big Data,Network,Scoring,#NV,#NV,How to use data to construct a network,#NV,#NV,#NV,#NV,Usage of data for scoring,#NV,2019-09-28 08:35:33
2,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,2019-09-30 09:40:24
3,Big data / Peer to peer lending,Finnish Financial Supervisory Authority (FIN-FSA),Big data analytics,Examples on Peer to peer lending,Trajectory Analysis,Workshop on Use Cases and supervisory issues,#NV,Training has increased knowledge of new technologies,More understanding among supervisors of new technologies and their effects on banking and insurance activities,Update of risk management,#NV,#NV,Training program has potential to increase the efficiency of supervisory activities and update knowledge of the newest financial technologies,#NV,2019-10-01 10:13:04
4,Ho2020 BIG DATA P2P LENDING WORKSHOP,FSMA Belgium,"•	Overview o•	Overview of the FIN-TECH project; Introduction of the Project’s goal, activities and network ",Big Data Analytics: An introduction to Network Analysis,R & Python using Jupiter notebook,Presentation of Use cases,#NV,"Topic (data on consumer credit) not relevant for Belgium, because not in the remit of the regulator ",Mismatch between targeted audience and people present at this workshop,#NV,#NV,#NV,unfortunatetly due to the abovementioned reasons no new insights and thus no added value,"Standard content delivered by the project was not relevant for BE regulators (nor FSMA nor NBB) , if stick to the imposed program, BE regulators might drop out of such workshops. Also, the envisaged length of the workshop (16h) is not feasible nor desirable. Should be organised in a more efficient way and much more hands on and related to the mission of the regulators

For the upcoming AI SupTech, we demand another much more tailored approach and are trying to work together with Bhive and Lux to achieve this.
",2019-10-17 12:41:24
5,Peer to Peer Lending: in Europe and the Balkan Peninsula,Financial Supervision Commission,What is Peer to Peer lending,History of Peer to Peer lending in Europe,Types of P2P lending,Risks in P2P lending,Legal part of P2P lending,The audience understood how it works P2P lending,The audience understood from where it starts,The audience understood what kind of models are in P2P lending,The audience understood the main risks in P2P lending,The audience was briefed with the legal part of the P2P lending in Bulgaria and the main issues that stands at the moment,The main insight will be the legal part and how the future P2P companies will start working in the local market. FSC will continue to contribute the companies that offering financial innovations.,The FSC will take extra measures to achieve the aims set out in our Fintech monitoring strategy.,2019-10-18 08:43:30
6,SUPTECH WORKSHOP I,Portuguese Securities Market Commission),Statistical models,Model validation /evaluation measures,Approaches for high-dimensional problems: factor models,Principles of Machine Learning,Use cases,"Network models: Network representation, Centrality measures",Linear regression,Logistic regression,Principle component analysis (PCA),single value decomposition (SVD),Neural networks and deep learning,Highly experienced teachers,2019-10-29 09:59:21
7,"Big Data and Artificial Intelligence: Risks, Challenges and Applications","ACPR Banque de France, Olivier Fliche","Big Data Analytics: the topic was introduced with a direct focus on the risks and each speaker shared its analysis from its domain of expertise (lawyer, statistician, etc.) while presenting concrete applications from which the risks might arise.",Financial Actors and Fintechs: very interesting insights form the banks and startups that participate in the developpement of big data and artificial intelligence technologies for financial applications.,Artificial Intelligence: a regulator's point of view of the technology with a technical approach and some actions put in place to further enhance its understanding from all actors in the field.,Research topics around AI: an understandable presentation by researchers on the most discussed risks and on controversial definitions of the literature.,#NV,"Explainability/interpretability of models is a first priority for financial institutions. The literature already provides methods to enhance it. However, the different understandings of the notion should be clarified if the supervisor is to express its expectations in this area.","Biases also have several interpretations, and a series of approaches could help in finding good solutions to prevent and deal with biases. This requires an enhanced capacity from supervisors – as well as from financial institutions – to identify and understand the statistical, legal and social aspects of bias risks.","Compliance with data protection regulation is key. In this respect, the use of complex methods using pseudo-anonymized data should be done with care.",#NV,#NV,"Biases, explainability/interpretability, data privacy and the transition from a development to a deployment stage are issues of the utmost importance and some solutions already exist as explained above. The supervisor has a contribution to make in this area and could aim at implementing sound concepts and practices, by getting inspiration from academic work and working closely with those in charge, in the financial sector, of developing operational AI solutions.","The conference was an opportunity to provide a very comprehensive and up-to-date analysis of the subject from different perspectives : technical, operational, statistical and legal.",2019-10-29 11:58:58
8,FIN-TECH - Artificial Intelligence,Danish Financial Supervisory Authority,Big Data analytics. It was a good introduction to the foundations for big data anlytics.,"Visualisation of complex relationships. This was new to many people, and it was nice to have it presented visually instead of in coding.",Network analysis and clustering models. A good introduction. The more general aspects were well received.,"Explainable AI. The subject is a priority for us, and the presentation was well suited for the general audience. Perhaps too much foucs on acutal coding and too little on interpretataion. But all in all a good presentation.","Various coding sessions - these parts of the agenda was too focus on coding, and as only a small handful in the audience knows coding, the information content was sadly lost on almost everone.",That XAI is also on other peoples minds,"A result is to make a split for the next session, to have actual coding seperate from the high level session",#NV,#NV,#NV,"Graph analysis looked highly useful, but our institution is not yet at a place to utilise it. XAI is high on our agenda, and it was very useful to know that it is being looked at elsewhere also.",#NV,2019-10-31 13:43:41
9,SupTech Workshop in Big Data Analytics – credit risk in P2P lending,The Polish Financial Supervision Authority,How to analyze (big) data?,Why analyze (big) data?,Introduction to predictive models used in credit risk evaluation on the example of P2P lending,Explanation of statistical tools applied in the use cases,#NV,growth of knowledge about artificial inteligence and machine learning,growth of knowledge about deep learning and P2P lending and crowdfunding platforms,significant role of big data  in credit scoring processes,#NV,#NV,awarness of relevant impact of new technologies in development of fintech sector,.,2019-11-04 15:30:35
10,"Suptech Workshop I., Credist risk in P2P lending",Central Bank of Hungary,Big data,P2P Lending,Network models,#NV,#NV,"Outstanding, We received a very good overview about the fields of this technology","Outstanding, We were informed about the working mechanism of this lending platform, and we could deep dive into the relevant risks, and opportunities.","Outstanding,Good",#NV,#NV,The presented use cases were very useful from a supervisor's point of view.,#NV,2019-12-02 10:29:51
