type_assets,symbol,cluster,F1,F2,F3,cluster_new
Stock,PNW,1,0.484547103,-0.451597662,0.848579346,1
Stock,PPG,1,0.588491377,0.040483244,0.263925848,1
Stock,PFG,1,0.26514138,-0.586971796,0.816585009,1
Stock,PLD,1,0.411590958,-0.468586681,0.809635077,1
Stock,PWR,1,0.291454411,-0.431767392,0.61594508,1
Stock,RJF,1,0.459630409,-0.185422204,0.294040304,1
Stock,REG,1,0.560453104,-0.185864891,0.554419714,1
Stock,RCL,1,0.291925595,-0.364390648,0.365872147,1
Stock,CRM,1,0.132984272,-0.891232602,-0.111066709,1
Stock,LUV,1,0.199279709,-0.621549928,0.859138651,1
Stock,TTWO,1,0.159920094,-0.506659746,0.746694898,1
Stock,TPR,1,0.250400498,-0.419124427,0.593904655,1
Stock,TEL,1,0.383129708,-0.431325422,0.729498213,1
Stock,FTI,1,0.361170031,-0.183818072,0.457505211,1
Stock,MOS,1,0.130779987,-0.602678258,0.793737753,1
Stock,DIS,1,0.414807743,-0.405533304,0.737712523,1
Stock,TIF,1,0.216837694,-0.629534517,0.892169288,1
Stock,TMUS,1,0.326759275,-0.381650607,0.659030203,1
Stock,USB,1,0.325907596,-0.641647579,0.964705306,1
Stock,UDR,1,0.360467686,-0.608688881,0.946141604,1
Stock,UPS,1,0.328473342,-0.59247012,0.901596186,1
Stock,UHS,1,0.464329465,-0.073135348,0.358969995,1
Stock,VIAB,1,0.276350453,-0.275039789,0.44427815,1
Stock,WAB,1,0.388775868,-0.229814207,0.499983879,1
Stock,WRK,1,0.428103298,-0.050810583,0.224892818,1
Stock,WMB,1,-0.027768579,-0.742701687,-0.171376081,1
Crypto,USDT,2,0.654265381,1.41002382,-0.152783956,1
Stock,AMG,2,0.722934525,1.136850755,0.908535934,1
Stock,AFL,2,0.873673788,0.916081941,0.730666154,1
Stock,APD,2,0.782743083,0.537667853,0.165718941,1
Stock,GOOGL,2,0.805666311,1.233331919,0.844553982,1
Stock,AMZN,2,0.662705482,1.207069395,0.937657988,1
Stock,AEE,2,0.93889072,1.135542116,0.940303411,1
Stock,AEP,2,0.891074061,0.795408335,0.570609098,1
Stock,AMT,2,0.827770339,0.598318218,0.257951492,1
Stock,AZO,2,0.823240008,1.072769135,0.906053517,1
Stock,BAX,2,0.748670291,0.463231104,0.251900079,1
Stock,BA,2,0.791147641,1.152452753,0.924766666,1
Stock,BKNG,2,0.685970373,0.87377114,0.693668143,1
Stock,BXP,2,0.888810537,1.056524314,0.860020893,1
Stock,COF,2,0.729254441,0.591195145,0.36875892,1
Stock,CAH,2,0.68978904,0.720384979,0.581984123,1
Stock,CAT,2,0.694658124,0.683480684,0.445085873,1
Stock,CERN,2,0.789146035,1.104244463,0.895789433,1
Stock,CHTR,2,0.730085186,0.98766953,0.730944361,1
Stock,CMG,2,0.628876522,0.978757048,0.73422188,1
Stock,CI,2,0.710544253,0.599853985,0.375866082,1
Stock,CTXS,2,0.658579137,0.449155856,0.242786087,1
Stock,CXO,2,0.567801058,0.706169124,0.143759264,1
Stock,COST,2,0.833885216,1.0912422,0.920968607,1
Stock,CCI,2,0.924410883,0.990645644,-0.213435709,1
Stock,DVA,2,0.660656858,0.632115528,0.435864417,1
Stock,FANG,2,0.599924539,0.641175994,0.358642062,1
Stock,DISH,2,0.591140562,0.631744074,0.393425748,1
Stock,DD,2,0.672913308,0.478156315,0.228616421,1
Stock,EOG,2,0.650955174,0.566255186,0.102383012,1
Stock,ESS,2,0.859134262,0.754909478,0.508866614,1
Stock,FDX,2,0.797897414,1.093564123,0.88851432,1
Stock,FRC,2,0.761087077,0.685043083,0.362185794,1
Stock,FTNT,2,0.574161786,0.563100763,0.353230912,1
Stock,BEN,2,0.729305359,0.602547494,0.363751637,1
Stock,GPS,2,0.560567929,0.845656196,0.678973048,1
Stock,GRMN,2,0.795676843,0.757470194,-0.200906514,1
Stock,GIS,2,0.838041927,1.174121364,0.98810458,1
Stock,GPC,2,0.850824905,0.883834665,0.683682204,1
Stock,GS,2,0.766320929,0.733364349,0.488032485,1
Stock,HAL,2,0.683669466,0.799886636,0.537911583,1
Stock,HOG,2,0.716801387,1.055961382,0.838865027,1
Stock,HLT,2,0.808883001,1.01264647,0.778439004,1
Stock,HD,2,0.808363843,0.657642954,0.279640433,1
Stock,HUM,2,0.724659049,1.161220923,0.910892151,1
Stock,HII,2,0.772125595,1.170853871,0.949544897,1
Stock,IBM,2,0.76772817,0.757578069,0.554030339,1
Stock,IFF,2,0.805533222,1.047155897,0.901598803,1
Stock,JBHT,2,0.851272729,0.929298295,0.673371776,1
Stock,KEYS,2,0.669023426,0.609019942,0.302581483,1
Stock,KMI,2,0.613596301,0.610760803,0.349994493,1
Stock,KLAC,2,0.622743325,0.755819231,0.557098664,1
Stock,KSS,2,0.545420518,0.649762275,0.490092063,1
Stock,KHC,2,0.613354231,0.35037344,0.31132408,1
Stock,LB,2,0.494228901,0.562566945,0.444806402,1
Stock,LH,2,0.816486154,1.015792936,0.851091136,1
Stock,LIN,2,0.865564946,0.974432591,0.742447033,1
Stock,MTB,2,0.732380983,0.471131149,0.094999486,1
Stock,MRO,2,0.410290864,0.556926802,0.279431106,1
Stock,MPC,2,0.663090007,0.928342628,0.670947207,1
Stock,MA,2,0.735045154,0.766445689,0.514602925,1
Stock,MTD,2,0.829422652,1.170902809,0.946016986,1
Stock,MSI,2,0.769274947,0.632881554,0.36580675,1
Stock,MSCI,2,0.747831194,0.559107307,0.299665849,1
Stock,NTAP,2,0.621660869,0.653826329,0.449663851,1
Stock,NEE,2,0.930242194,1.250113518,1.031237538,1
Stock,NKE,2,0.774103146,0.741704848,0.4557074,1
Stock,JWN,2,0.555212448,0.692569361,0.493817635,1
Stock,NSC,2,0.757943571,0.970539825,0.729642479,1
Stock,NVR,2,0.845917706,1.52295243,1.142230088,1
Stock,OMC,2,0.822301939,0.688483397,0.45890452,1
Stock,PEP,2,0.956479957,1.256934892,1.045236427,1
Stock,PRGO,2,0.471815599,0.338408916,0.265910779,1
Stock,PM,2,0.811149023,0.875694066,0.697771411,1
Stock,PG,2,0.855940991,0.695996822,0.446409752,1
Stock,PSA,2,0.877650286,0.963831136,0.77223856,1
Stock,PVH,2,0.672946798,0.798046517,-0.116714382,1
Stock,QCOM,2,0.588739874,0.586024996,0.308022813,1
Stock,DGX,2,0.738880362,0.562600079,0.339813806,1
Stock,RL,2,0.593320934,0.432848439,0.296158767,1
Stock,REGN,2,0.711666934,1.039337401,0.71117167,1
Stock,RSG,2,0.929628291,1.002560702,0.830108408,1
Stock,ROK,2,0.759411402,0.798122682,0.542228966,1
Stock,ROP,2,0.854445886,1.124971825,0.928970727,1
Stock,SRE,2,0.884932825,0.933886746,0.713710105,1
Stock,TGT,2,0.719583716,0.909842657,0.69393518,1
Stock,TFX,2,0.804063305,1.053738399,0.853056057,1
Stock,CLX,2,0.835910794,0.878747586,0.689808124,1
Stock,TRV,2,0.902257904,1.180700239,0.997734553,1
Stock,TDG,2,0.65370464,0.455162201,0.283253802,1
Stock,ULTA,2,0.604032295,0.531782487,0.301346361,1
Stock,UNP,2,0.794395535,1.130577335,0.904214065,1
Stock,VFC,2,0.743577439,0.777520013,0.592015837,1
Stock,V,2,0.784622699,0.859691454,0.616270561,1
Stock,WMT,2,0.789844074,0.611570722,0.371664779,1
Stock,WDC,2,0.500660413,0.544355885,0.221399661,1
Stock,WY,2,0.739100135,0.467608657,0.257249751,1
Stock,WHR,2,0.688936073,1.060579317,0.879086696,1
Stock,WLTW,2,0.831916433,1.139892644,0.962420401,1
Stock,XLNX,2,0.568005955,0.413339294,0.244034794,1
Stock,ATVI,3,-0.127685229,-1.096370915,1.240931944,1
Stock,AMD,3,-0.652850568,-1.259106761,1.16266755,1
Stock,AES,3,-0.046790126,-1.176058064,1.356237886,1
Stock,AKAM,3,0.047762775,-0.815175138,1.020696206,1
Stock,ALLE,3,0.162689475,-0.892440861,1.171781697,1
Stock,LNT,3,0.204029953,-0.975953331,1.296998742,1
Stock,MO,3,-0.155602626,-1.508452937,1.041798496,1
Stock,AMCR,3,-0.906331087,-1.968372265,1.379818545,1
Stock,AWK,3,0.176706701,-1.016113453,1.323552017,1
Stock,APH,3,0.124581509,-0.986854852,1.236198542,1
Stock,AON,3,0.229625119,-0.835872655,1.143355798,1
Stock,AMAT,3,-0.124856137,-1.125969719,1.258338128,1
Stock,AJG,3,0.185294736,-0.986311367,1.303437842,1
Stock,T,3,0.098401755,-1.064789857,1.299722896,1
Stock,ATO,3,0.313237469,-0.756287952,1.115938604,1
Stock,ADSK,3,-0.249033827,-1.262132235,1.346731618,1
Stock,AVY,3,0.170010416,-0.869440412,1.184055339,1
Stock,BAC,3,0.082580984,-0.910466039,1.137230054,1
Stock,BBT,3,0.237227725,-0.774308902,1.070333413,1
Stock,BBY,3,-0.001232281,-0.79917428,0.945752633,1
Stock,HRB,3,-0.173615758,-1.234322256,1.321683956,1
Stock,BWA,3,-0.273050487,-1.418878289,1.4198492,1
Stock,BSX,3,-0.031802415,-1.109202516,1.321098571,1
Stock,BR,3,0.060889396,-1.086519076,1.312239751,1
Stock,BF-B,3,0.175010669,-0.913452561,1.210866285,1
Stock,CBRE,3,0.191117472,-0.69899678,0.95433065,1
Stock,CNC,3,-0.064371965,-0.982772482,1.096604988,1
Stock,CVX,3,0.18158778,-0.781651557,1.042288367,1
Stock,CB,3,0.10596315,-1.114550776,1.37814574,1
Stock,CHD,3,0.165013298,-0.977385893,1.271844978,1
Stock,CSCO,3,-0.055339111,-1.192119501,1.3540432,1
Stock,KO,3,0.358036518,-0.710059025,1.078384546,1
Stock,CMCSA,3,0.267988086,-0.704381614,1.014508359,1
Stock,CPRT,3,-0.007272187,-1.153042145,1.363781801,1
Stock,GLW,3,0.092631151,-0.877141663,1.096932331,1
Stock,COTY,3,-0.296190698,-1.1989394,1.279518626,1
Stock,DHI,3,0.053706642,-1.111782041,0.502145927,1
Stock,DRI,3,0.270255917,-0.652602084,0.992709177,1
Stock,DAL,3,0.052699892,-0.89505008,1.103826923,1
Stock,DRE,3,0.124672566,-1.03508828,1.305104447,1
Stock,DXC,3,0.023554506,-0.825985101,0.955008126,1
Stock,EBAY,3,0.046373391,-0.953467672,1.174755065,1
Stock,EIX,3,0.129906459,-0.941362575,1.178083415,1
Stock,EA,3,-0.064325764,-1.01144966,1.231855701,1
Stock,EQR,3,0.048663118,-1.184280936,1.390228496,1
Stock,EL,3,0.130002282,-0.877173175,1.166599643,1
Stock,EVRG,3,0.100818613,-1.10816601,1.360425135,1
Stock,EXC,3,0.291094006,-0.733353622,1.068981861,1
Stock,EXPD,3,0.225561695,-0.750415891,1.039828665,1
Stock,FAST,3,0.007106129,-1.070888424,1.274873481,1
Stock,FITB,3,0.024285571,-1.027546994,1.217041873,1
Stock,FE,3,0.310826045,-0.663040237,1.010588968,1
Stock,FLIR,3,0.146379262,-0.839368494,1.141877809,1
Stock,FLS,3,0.142017677,-0.742393088,0.966114181,1
Stock,GE,3,-0.088388559,-1.056509856,1.183837249,1
Stock,GL,3,0.220988755,-0.856251188,1.157100378,1
Stock,HCA,3,0.049211724,-0.947963341,1.172588864,1
Stock,HCP,3,0.169573655,-0.847457652,1.080112909,1
Stock,HPE,3,-0.086257497,-0.972939783,0.938168897,1
Stock,HON,3,0.283164865,-0.734303037,1.066306826,1
Stock,HRL,3,0.077382633,-1.075856734,1.319451659,1
Stock,HBAN,3,-0.152744469,-1.523588227,0.687617367,1
Stock,IEX,3,0.295415883,-0.715407921,1.07974835,1
Stock,INFO,3,0.012211803,-1.10888807,1.290612861,1
Stock,INCY,3,-0.055883902,-0.749184733,0.861365765,1
Stock,INTC,3,0.095291541,-0.882178202,1.126160313,1
Stock,IVZ,3,-0.101091988,-1.228256676,1.340354838,1
Stock,JCI,3,0.257170072,-0.704691705,1.019199886,1
Stock,KEY,3,0.117623277,-0.876684467,1.122644444,1
Stock,KIM,3,0.086070362,-1.030249811,1.289863929,1
Stock,LKQ,3,0.026693066,-1.040239963,1.219278248,1
Stock,L,3,0.082186724,-1.1206753,1.361523858,1
Stock,MAC,3,0.138547872,-0.847858238,1.102639744,1
Stock,MAR,3,0.013383872,-1.091273315,1.288670445,1
Stock,MMC,3,0.290794999,-0.762232355,1.10538764,1
Stock,MAS,3,-0.056023511,-1.167382241,1.34729245,1
Stock,MXIM,3,-0.091299589,-1.136052992,1.27885393,1
Stock,MGM,3,0.002732155,-0.901233702,1.087630293,1
Stock,MCHP,3,-0.156181702,-1.235731398,1.326407182,1
Stock,MS,3,0.033655455,-1.008608717,1.224117307,1
Stock,MYL,3,0.046934804,-0.679396472,0.849002436,1
Stock,NDAQ,3,-0.215958399,-1.706685842,0.705150623,1
Stock,NWL,3,-0.187135437,-1.142168009,1.160548835,1
Stock,NI,3,-0.018729148,-1.255730951,1.433968344,1
Stock,NTRS,3,0.208332706,-0.702839472,0.940506473,1
Stock,NCLH,3,-0.088619748,-1.202682722,0.845369335,1
Stock,OKE,3,-0.129647245,-1.003713129,1.091670533,1
Stock,PAYX,3,0.3147244,-0.679543232,1.009945146,1
Stock,PKI,3,0.191526413,-0.781337491,1.047521129,1
Stock,PPL,3,0.229180338,-0.908809971,1.235847047,1
Stock,PGR,3,0.182960865,-0.934898259,1.250352333,1
Stock,PEG,3,0.337795,-0.676122864,1.028769283,1
Stock,PHM,3,-0.073162565,-1.173201844,1.33213917,1
Stock,O,3,0.160481583,-0.976505796,1.258531924,1
Stock,RF,3,-0.169740223,-1.529788938,0.585388815,1
Stock,RHI,3,0.142187685,-0.760232718,0.954017598,1
Stock,ROL,3,-0.007699012,-1.201163473,1.381981626,1
Stock,ROST,3,-0.031034578,-1.124746657,1.319696781,1
Stock,SBAC,3,0.217843437,-0.725340116,0.99619885,1
Stock,SPG,3,0.231728661,-0.857494624,1.180893006,1
Stock,SWKS,3,-0.02946103,-0.823381275,0.977314201,1
Stock,SLG,3,0.292927812,-0.71229317,1.044456533,1
Stock,SO,3,0.266530523,-0.896209466,1.251952698,1
Stock,SBUX,3,0.2196809,-0.808115026,1.120502447,1
Stock,STI,3,0.064228386,-0.988712301,1.220485068,1
Stock,SYY,3,0.179285123,-0.913580331,1.220245306,1
Stock,TXN,3,-0.018317172,-1.091264774,1.278510812,1
Stock,TXT,3,0.171300316,-0.751722704,0.986854789,1
Stock,HSY,3,0.264139447,-0.785318855,1.136698729,1
Stock,TJX,3,0.294634813,-0.681152981,1.035035406,1
Stock,TRIP,3,-0.16319073,-0.862609066,0.961510114,1
Stock,UAL,3,0.060056831,-0.715157285,0.894609313,1
Stock,UNM,3,0.098094285,-0.885396242,1.073245803,1
Stock,VRSK,3,0.218739162,-0.819182709,1.1221622,1
Stock,VZ,3,0.25122113,-0.831251962,1.172413319,1
Stock,VNO,3,0.320237851,-0.726941125,1.091405785,1
Stock,WM,3,0.310848184,-0.768957643,1.141114832,1
Stock,WEC,3,0.182340985,-1.007249276,1.306155936,1
Stock,WFC,3,0.111742063,-1.011019553,1.275567545,1
Stock,WU,3,0.233744821,-0.774807705,1.093667412,1
Stock,XEL,3,0.253135882,-0.916121752,1.269827464,1
Stock,XYL,3,0.255823529,-0.706081886,1.025043222,1
Stock,ZION,3,0.119192156,-0.863269135,1.108466191,1
Commodity,CKEL_,4,0.666531323,-0.092219963,-1.490729154,1
Commodity,DIEIN,4,0.565722699,-0.12155032,-1.55004782,1
Commodity,EUCRB,4,0.574282774,-0.092348452,-1.535431076,1
Commodity,LMAHD,4,0.866634956,0.04828681,-1.295195411,1
Commodity,LMCAD,4,0.794509753,0.056745413,-1.086087025,1
Commodity,MLCXC,4,0.743859984,-0.070396113,-1.579945378,1
Commodity,NGUSH,4,-0.019154019,-0.093254448,-1.119169211,1
Commodity,RBOB8,4,0.527481574,-0.079575942,-1.544064509,1
Commodity,SOYBC,4,0.778892002,-0.059730219,-1.414124246,1
Commodity,SPGSL,4,0.859956428,-0.036651416,-1.543117284,1
Commodity,USCRW,4,0.529501461,-0.106245623,-1.541559351,1
Commodity,WEATT,4,0.715533697,0.12236162,-0.916439592,1
Commodity,XAG_C,4,0.711579837,-0.098695117,-1.532131061,1
Commodity,XAU_C,4,0.877018424,-0.024509266,-1.505820409,1
Commodity,ZSDY_,4,0.807430734,0.017376532,-1.369486747,1
Crypto,BTC,4,-0.145938134,-0.290902695,-1.51423143,1
Exchange rate,AUD,4,0.958177612,-0.027547142,-1.559635519,1
Exchange rate,CHF,4,0.764984381,-0.437186743,-1.140542272,1
Exchange rate,CNY,4,0.851763673,0.019586782,-1.092186482,1
Exchange rate,DKK,4,0.941767747,-0.043145062,-1.560494318,1
Exchange rate,EUR,4,0.943523023,-0.035035909,-1.56106994,1
Exchange rate,GBP,4,0.912637766,-0.07091063,-1.38856295,1
Exchange rate,HKD,4,0.818904972,-0.039149056,-1.115831248,1
Exchange rate,INR,4,0.941615182,-0.049029028,-1.585813854,1
Exchange rate,JPY,4,0.900316248,-0.067973962,-1.529536638,1
Exchange rate,NOK,4,0.933987504,0.068912045,-1.176901239,1
Exchange rate,NZD,4,0.960616103,-0.024526751,-1.574461646,1
Stock,MMM,4,0.705940739,-0.192557196,-1.61837378,1
Stock,ABBV,4,0.603304229,0.111048419,-0.898744089,1
Stock,ACN,4,0.732371698,-0.045106927,-1.265058202,1
Stock,ADBE,4,0.641562958,-0.000740422,-1.23583942,1
Stock,ALB,4,0.555655669,-0.137852927,-1.399516122,1
Stock,ARE,4,0.791366129,-0.069917427,-1.422414887,1
Stock,ALXN,4,0.530605737,-0.119912929,-1.543275181,1
Stock,ADS,4,0.625326311,0.000551027,-1.520625672,1
Stock,ALL,4,0.756323191,-0.136293521,-1.572350402,1
Stock,AXP,4,0.709448642,-0.119827845,-1.488756315,1
Stock,AMP,4,0.646337323,-0.033589818,-1.114866476,1
Stock,AME,4,0.76898019,-0.013063668,-1.227730101,1
Stock,ADI,4,0.458771958,-0.478890127,-1.05053825,1
Stock,ANSS,4,0.71280127,-0.098344412,-1.518721966,1
Stock,ANTM,4,0.670883424,-0.087426133,-1.278669333,1
Stock,AIV,4,0.813612598,0.02737776,-1.326673158,1
Stock,AAPL,4,0.691183811,0.153205098,-1.22378999,1
Stock,APTV,4,0.621301088,-0.118450379,-1.520518193,1
Stock,ARNC,4,0.375772881,-0.356961851,-1.40671178,1
Stock,ANET,4,0.423948219,0.087154693,-1.547271238,1
Stock,BLL,4,0.784907363,0.016085831,-1.537894222,1
Stock,BLK,4,0.745067771,0.135605714,-1.190691439,1
Stock,BMY,4,0.626890168,-0.152586828,-1.445819351,1
Stock,AVGO,4,0.584468987,-0.040504182,-1.333139267,1
Stock,KMX,4,0.656987439,0.104449679,-0.967861169,1
Stock,CELG,4,0.548853068,-0.156279618,-1.301892821,1
Stock,CTL,4,0.533745565,-0.107944057,-1.384298903,1
Stock,XEC,4,0.58156444,-0.030915013,-1.465308739,1
Stock,CINF,4,0.797634549,0.137597831,-0.907193468,1
Stock,C,4,0.664722465,-0.068000375,-1.384308389,1
Stock,CL,4,0.778814039,-0.024869316,-1.256013957,1
Stock,CMA,4,0.647358107,-0.077399501,-1.298356165,1
Stock,COP,4,0.616095705,-0.099324516,-1.53449891,1
Stock,ED,4,0.84536763,-0.044406073,-1.380413265,1
Stock,CMI,4,0.688152977,-0.141705406,-1.599134649,1
Stock,CVS,4,0.67521838,-0.153632662,-1.570365309,1
Stock,DHR,4,0.793658105,-0.0473938,-1.514229573,1
Stock,DE,4,0.599836188,-0.179217794,-1.234125321,1
Stock,DVN,4,0.459503427,-0.098325229,-1.519713003,1
Stock,DISCA,4,0.563492649,0.082757136,-1.259874434,1
Stock,DOV,4,0.686512135,-0.123227728,-1.444262125,1
Stock,DTE,4,0.874530253,0.135435054,-1.37890376,1
Stock,ETFC,4,0.489249585,-0.398423356,-1.282063844,1
Stock,EMN,4,0.70613358,-0.093466827,-1.541141113,1
Stock,ECL,4,0.785814685,0.072749465,-1.318220336,1
Stock,EMR,4,0.656873497,-0.22213356,-1.260876174,1
Stock,ETR,4,0.825372407,-0.078413121,-1.566981312,1
Stock,EQIX,4,0.734732502,-0.030451821,-1.448951127,1
Stock,XOM,4,0.708640911,-0.100525301,-1.14004861,1
Stock,FFIV,4,0.652646719,-0.058992876,-1.49812788,1
Stock,FLT,4,0.636869135,0.005086688,-1.247402008,1
Stock,FCX,4,0.237165328,-0.120867481,-1.554668115,1
Stock,IT,4,0.669837693,-0.082657046,-0.898804945,1
Stock,GD,4,0.655726429,-0.336862643,-1.262201967,1
Stock,GWW,4,0.689670729,-0.021809225,-1.492488488,1
Stock,HIG,4,0.761858907,0.014209284,-1.10631995,1
Stock,HP,4,0.52825008,-0.149509208,-1.490170125,1
Stock,HSIC,4,0.728540028,-0.089197146,-1.542219632,1
Stock,HES,4,0.549022843,-0.03059363,-1.359434643,1
Stock,HFC,4,0.439371157,-0.376936389,-1.309964874,1
Stock,ILMN,4,0.420215707,-0.34432899,-1.608075084,1
Stock,ICE,4,0.75235981,0.011341484,-1.162034258,1
Stock,SJM,4,0.712880133,-0.088309366,-1.370458936,1
Stock,JNJ,4,0.791535807,-0.112504686,-1.49932733,1
Stock,KSU,4,0.632191848,-0.231851312,-1.552045508,1
Stock,KMB,4,0.784218965,-0.04390964,-1.354057257,1
Stock,LLY,4,0.692958455,-0.11377203,-1.505056857,1
Stock,LMT,4,0.694518844,-0.264483032,-1.4183303,1
Stock,MKTX,4,0.718485595,0.08431544,-1.260267543,1
Stock,MLM,4,0.677404219,0.011148241,-1.374606011,1
Stock,MKC,4,0.809913731,0.006714502,-1.554719547,1
Stock,MSFT,4,0.643226203,-0.051494642,-1.061155947,1
Stock,MCO,4,0.715069555,0.053876337,-1.236106,1
Stock,NFLX,4,0.441406388,-0.079078546,-1.403629625,1
Stock,NEM,4,0.517446136,-0.074781675,-1.573976618,1
Stock,NLSN,4,0.667599704,-0.067760203,-1.477439639,1
Stock,NBL,4,0.521670389,-0.146460418,-1.527433812,1
Stock,NOC,4,0.743998189,0.021090301,-1.494406958,1
Stock,NRG,4,0.48187422,-0.044372853,-1.368649617,1
Stock,NUE,4,0.7259891,-0.074868742,-1.61353962,1
Stock,OXY,4,0.696649089,-0.027421065,-1.478960609,1
Stock,ORLY,4,0.638435156,-0.233109657,-1.532170136,1
Stock,PH,4,0.722914454,0.045430031,-1.262009127,1
Stock,PSX,4,0.685685222,-0.11624923,-1.559021199,1
Stock,PXD,4,0.641611124,0.170258202,-1.369856463,1
Stock,PNC,4,0.735431357,0.008847322,-1.206053607,1
Stock,PRU,4,0.649229122,-0.069311413,-1.222510428,1
Stock,QRVO,4,0.462758644,-0.150175577,-1.597535481,1
Stock,RTN,4,0.748033357,-0.033792545,-1.445143261,1
Stock,SLB,4,0.532713083,-0.467490123,-1.094986608,1
Stock,STX,4,0.436856473,-0.113034348,-1.533193981,1
Stock,SEE,4,0.59275238,-0.311808326,-1.240880414,1
Stock,SNA,4,0.7705211,0.088446339,-1.530705704,1
Stock,SIVB,4,0.529796445,0.02049188,-1.05534657,1
Stock,SYF,4,0.626709497,-0.161864082,-1.392159859,1
