asset_unique,symb_assets,type_assets,Variance,Skewness,Kurtosis,Stable_alpha,Stable_gamma,Q_5,Q_2_5,Q_1,Q_0_5,CTE_5,CTE_2_5,CTE_1,CTE_0_5,Q_95,Q_97_5,Q_99,Q_99_5,CTE_95,CTE_97_5,CTE_99,CTE_99_5,GARCH_parameter,ARCH_parameter
NGUSHHUB_INDEX_NGUSH,NGUSH,Commodity,0.002310803,1.714969558,52.10811204,1.49313678,0.016799115,-0.054384199,-0.078931815,-0.112343718,-0.184369424,-0.104692133,-0.144047089,-0.219298264,-0.314205362,0.052065494,0.072263286,0.123846186,0.21141938,0.107210007,0.153656125,0.253213144,0.36406968,0.736841926,0.263157874
RBOB87PM_INDEX_RBOB8,RBOB8,Commodity,0.00053358,0.315481647,6.689381775,1.677750488,0.012595048,-0.038513677,-0.048471243,-0.064826955,-0.076522564,-0.052743267,-0.062655773,-0.07433087,-0.08018821,0.035195382,0.048470705,0.06750483,0.07753752,0.054350135,0.06793773,0.087788005,0.105807987,0.914654163,0.065572201
SOYBCH1Y_INDEX_SOYBC,SOYBC,Commodity,0.000154836,-0.439413462,7.571002095,1.784094332,0.007286018,-0.019394869,-0.025779991,-0.032998646,-0.039701984,-0.02900278,-0.036146986,-0.047474291,-0.060286301,0.018939838,0.025351887,0.031821197,0.036941518,0.027103891,0.032775083,0.038869916,0.045246113,0.835954025,0.079834552
SPGSLC_INDEX_SPGSL,SPGSL,Commodity,0.000116332,-0.02946223,3.390998494,1.796332599,0.006711129,-0.019244252,-0.023101772,-0.026255781,-0.028570622,-0.023750791,-0.026552864,-0.029160335,-0.031214581,0.019399964,0.022851356,0.024981156,0.027462556,0.023095766,0.025408723,0.027821083,0.029812614,0.94229888,0.046901943
USCRWTIC_INDEX_USCRW,USCRW,Commodity,0.000509953,0.022147844,5.708456801,1.670176375,0.012335377,-0.038321127,-0.048516317,-0.060502709,-0.076301262,-0.053003499,-0.062793474,-0.076717817,-0.087101342,0.032809661,0.047066726,0.060521402,0.08054488,0.05163282,0.064247056,0.080601336,0.095573932,0.919975053,0.072092121
WEATTKHR_INDEX_WEATT,WEATT,Commodity,0.000327399,0.304350361,4.489925041,1.877042528,0.011587469,-0.027883874,-0.034661062,-0.040789993,-0.052671252,-0.03734066,-0.043877893,-0.053053064,-0.060730283,0.030323827,0.036534658,0.047989578,0.056468477,0.041561928,0.049734278,0.061473903,0.0719598,0.337703619,0.125126332
XAG_CURNCY_XAG_C,XAG_C,Commodity,0.000164873,-0.128689644,6.085940728,1.637787482,0.006791635,-0.020326324,-0.026599317,-0.036954976,-0.044270639,-0.030614589,-0.037794724,-0.047223811,-0.05495267,0.021219451,0.028088124,0.035545259,0.042430094,0.030005484,0.035727167,0.044124813,0.049979054,0.9,0.05
XAU_CURNCY_XAU_C,XAU_C,Commodity,6.37E-05,0.251616084,5.488510159,1.754035157,0.004655239,-0.012585181,-0.016205685,-0.021048883,-0.023882811,-0.017433411,-0.02089198,-0.024761441,-0.027423691,0.013713732,0.016170531,0.021864701,0.024885269,0.018713949,0.022605547,0.028468827,0.03461208,0.9,0.05
XPT_CURNCY_XPT_C,XPT_C,Commodity,0.000127217,0.033720696,3.891773381,1.897467797,0.007361197,-0.017911694,-0.022721803,-0.029897627,-0.033244596,-0.024585775,-0.0292693,-0.034560875,-0.038323468,0.017831981,0.023275703,0.030847778,0.033537328,0.024754227,0.029389497,0.034539921,0.037064192,0.213018397,0.092778916
ZSDY_COMDTY_ZSDY_,ZSDY_,Commodity,0.000220198,0.151219978,5.009709984,1.932888709,0.009860301,-0.023730281,-0.028291025,-0.03480424,-0.038544096,-0.030825603,-0.036010244,-0.043213504,-0.050867212,0.023919159,0.029247085,0.03718969,0.040930689,0.032299637,0.038365482,0.04734946,0.057021828,0.810393518,0.092180037
Bitcoin_BTC,BTC,Crypto,0.002084237,-0.179473902,7.820197564,1.249350978,0.017218847,-0.07248228,-0.100794437,-0.13983808,-0.174105383,-0.112393951,-0.142846263,-0.181970407,-0.210103882,0.076378651,0.098781499,0.141928831,0.16999041,0.111901632,0.138041169,0.175816919,0.198870991,0.8500735,0.115416653
Dogecoin_DOGE,DOGE,Crypto,0.007340236,2.719000388,33.3087842,1.192387288,0.026037689,-0.108909134,-0.149886734,-0.20749725,-0.279810881,-0.174882873,-0.223166851,-0.289129828,-0.354892559,0.123094551,0.184443325,0.248971484,0.40387072,0.233350535,0.318235449,0.46931528,0.634508443,0.784587833,0.215411967
FLO_FLO,FLO,Crypto,0.018590737,0.714826268,7.144470646,1.521400729,0.064812527,-0.199291118,-0.254155664,-0.370597643,-0.424578619,-0.289710961,-0.356585371,-0.438544865,-0.487463934,0.221292935,0.307075691,0.49287026,0.575548597,0.361491146,0.462298708,0.576871859,0.640928191,0.74620931,0.125207334
Feathercoin_FTC,FTC,Crypto,0.015520548,0.999275118,19.27410258,1.327272631,0.04469414,-0.163825347,-0.210842463,-0.301315789,-0.37098719,-0.260742382,-0.339799341,-0.460711029,-0.60307242,0.176073001,0.272166111,0.417105578,0.616508982,0.335136605,0.453527353,0.650791101,0.772856881,0.545242394,0.22153457
Litecoin_LTC,LTC,Crypto,0.004676376,0.848013943,14.96291195,1.157406897,0.02159228,-0.092289065,-0.130573833,-0.169346821,-0.251413927,-0.150859015,-0.191894357,-0.265764844,-0.331837277,0.10535329,0.158114365,0.238075014,0.290664261,0.186172161,0.249173531,0.331312088,0.400445081,0.834430221,0.103266498
Namecoin_NMC,NMC,Crypto,0.010106231,-0.23146939,24.40629107,1.220478049,0.031450311,-0.129354497,-0.19323109,-0.30431553,-0.413896427,-0.241833414,-0.331159425,-0.456511207,-0.584627172,0.130230653,0.212822806,0.311575897,0.445802201,0.248498475,0.337008139,0.453858054,0.553987825,0.729303355,0.270696445
Nxt_NXT,NXT,Crypto,0.008602812,1.581469339,22.0243085,1.347688459,0.034048413,-0.116634315,-0.156188053,-0.223097708,-0.301726098,-0.191693778,-0.249153979,-0.344900857,-0.444193132,0.129916658,0.187392954,0.328544177,0.40524195,0.247230326,0.337733771,0.474999486,0.607164788,0.796143205,0.176320678
Peercoin_PPC,PPC,Crypto,0.006088971,0.408515533,8.982555665,1.401472492,0.032190629,-0.115693862,-0.163439634,-0.249770282,-0.287551719,-0.188237357,-0.241461675,-0.29577679,-0.327999424,0.113462062,0.18043058,0.257777186,0.312138538,0.201457707,0.259491702,0.334045469,0.398229354,0.820902371,0.160774527
Primecoin_XPM,XPM,Crypto,0.010505275,1.821366148,22.42877571,1.369623575,0.03971988,-0.143833876,-0.19012601,-0.267761004,-0.29977353,-0.218375633,-0.27431561,-0.34861505,-0.420883087,0.155152393,0.213999023,0.305246206,0.38175968,0.267650458,0.345718652,0.482544092,0.653504734,0.849544255,0.149290388
XRP_XRP,XRP,Crypto,0.00557708,1.853570519,19.57849001,1.172889833,0.0235246,-0.096812916,-0.136064027,-0.185611117,-0.207699621,-0.151476106,-0.189516712,-0.23421657,-0.281195676,0.111802109,0.169571561,0.260397435,0.373748195,0.210632272,0.286373151,0.395175802,0.503815465,0.666130562,0.271602026
Vertcoin_VTC,VTC,Crypto,0.016734358,2.678385909,27.96378638,1.402042667,0.049210917,-0.164645713,-0.229359623,-0.316789771,-0.380788592,-0.252463204,-0.314252859,-0.38775338,-0.440557323,0.171641232,0.291399812,0.479823888,0.585736361,0.357085566,0.493502054,0.70696479,0.932581059,0.834082929,0.165916871
DigiByte_DGB,DGB,Crypto,0.014234416,1.725512476,18.35882348,1.445123153,0.048182039,-0.146596304,-0.206502401,-0.315812216,-0.382531728,-0.242722802,-0.315891009,-0.413001687,-0.4831214,0.169025924,0.261636407,0.407554693,0.553531574,0.324550866,0.446744261,0.609483962,0.777781311,0.900378344,0.099621456
ReddCoin_RDD,RDD,Crypto,0.023409008,0.907690243,22.02649931,1.5178972,0.067390068,-0.209863532,-0.281038005,-0.364612203,-0.391172012,-0.310686269,-0.38589314,-0.491997641,-0.600720928,0.241162057,0.322507603,0.435448365,0.60270507,0.398581317,0.511691288,0.736840174,0.959567717,0.803700396,0.196299404
Dash_DASH,DASH,Crypto,0.008530595,2.637926001,47.87037769,1.31030243,0.031181142,-0.115348696,-0.161519673,-0.216399776,-0.245799106,-0.184369191,-0.235322435,-0.317957226,-0.407196455,0.137032345,0.191427622,0.264273738,0.346378771,0.240494144,0.318887621,0.466730842,0.642981986,0.763299804,0.236699996
BlackCoin_BLK,BLK,Crypto,0.014070188,3.308134069,51.70552075,1.328534406,0.04147126,-0.154116498,-0.210338639,-0.28214154,-0.356156175,-0.241666111,-0.302723899,-0.395365221,-0.472569987,0.167020895,0.238540153,0.37642187,0.445338147,0.306818138,0.416157533,0.615249771,0.809669306,0.847562883,0.152436917
MonaCoin_MONA,MONA,Crypto,0.010806043,1.249534105,17.59667985,1.245138183,0.033886473,-0.130028599,-0.175364938,-0.25548597,-0.298501921,-0.211435286,-0.275340207,-0.381142866,-0.48866597,0.150113371,0.240576953,0.440075845,0.519699014,0.29668996,0.404147712,0.560041005,0.635615763,0.904412153,0.095587647
Gulden_NLG,NLG,Crypto,0.009596855,0.970587247,13.09650845,1.367350651,0.039255946,-0.130461738,-0.184634255,-0.262243648,-0.318440241,-0.210887178,-0.270473304,-0.355941692,-0.428656668,0.158834046,0.217059612,0.309831422,0.401992973,0.262168563,0.340234821,0.454036094,0.559557437,0.515532833,0.29048346
Einsteinium_EMC2,EMC2,Crypto,0.017478519,2.648751942,30.43239807,1.437011481,0.054001302,-0.178317398,-0.243225386,-0.315805329,-0.374796918,-0.259758235,-0.314230891,-0.373056958,-0.405595567,0.197256666,0.263646072,0.416509599,0.591720349,0.352782428,0.473786892,0.699093187,0.891666172,0.948324916,0.026146874
Groestlcoin_GRS,GRS,Crypto,0.026179752,1.436152936,13.24633778,1.240235628,0.056813595,-0.212929532,-0.288318997,-0.401744904,-0.456929774,-0.326394506,-0.410048452,-0.51842195,-0.619853032,0.278570139,0.402804124,0.569783924,0.750459264,0.468854349,0.612381404,0.799417692,0.952021801,0.921786091,0.058323016
WhiteCoin_XWC,XWC,Crypto,0.01992085,1.115737584,13.50800971,1.441766005,0.059526418,-0.193715554,-0.25860744,-0.346615436,-0.435683,-0.298103065,-0.375245728,-0.483465748,-0.585256505,0.224029175,0.308695961,0.453743196,0.610927309,0.376339427,0.495586782,0.67989067,0.840130567,0.387832004,0.180995456
MaidSafeCoin_MAID,MAID,Crypto,0.006245432,0.290953288,6.414541243,1.680766601,0.043019394,-0.121635411,-0.159545875,-0.205547077,-0.247408577,-0.17578306,-0.212423631,-0.260161444,-0.302624217,0.124096354,0.167279808,0.259265783,0.297205815,0.193082436,0.242625899,0.311844951,0.346981265,0.945092,0.031757352
Monero_XMR,XMR,Crypto,0.007231507,0.978406078,11.34591185,1.469827333,0.038215218,-0.124211315,-0.164363506,-0.222071688,-0.283449951,-0.183206558,-0.228514367,-0.285842931,-0.311300293,0.132628148,0.168556478,0.258378243,0.333121877,0.216123043,0.28093935,0.387411784,0.489416549,0.83525372,0.114281035
NavCoin_NAV,NAV,Crypto,0.022810907,1.961780909,39.17865616,1.391847249,0.056326333,-0.186570678,-0.255826,-0.356170414,-0.416693836,-0.300807771,-0.385883052,-0.498497171,-0.613915471,0.219205697,0.333412202,0.440097056,0.698451327,0.398260946,0.531468528,0.760331691,0.984258156,0.862690545,0.137309255
Bytecoin_BCN,BCN,Crypto,0.017007161,3.190701896,39.79554733,1.446728878,0.049710295,-0.163678608,-0.21661334,-0.268132314,-0.356061974,-0.244474661,-0.301841891,-0.395409292,-0.500636337,0.167054085,0.237448924,0.390932991,0.596333467,0.338373953,0.473889535,0.742596271,1.017116278,0.827324619,0.172675181
Boolberry_BBR,BBR,Crypto,0.02186918,1.696949847,22.07533935,1.488775418,0.061142797,-0.18499943,-0.246327167,-0.323161842,-0.43948662,-0.294849148,-0.378927133,-0.524972161,-0.70329238,0.193140684,0.308746752,0.522845749,0.586459348,0.39459146,0.556373791,0.753972144,0.979179396,0.863396681,0.136603119
DigitalNote_XDN,XDN,Crypto,0.017076326,2.461649781,24.5691958,1.51018076,0.055136117,-0.172944969,-0.23055281,-0.308759156,-0.380045941,-0.256122039,-0.31200596,-0.391324362,-0.448723406,0.180845991,0.271287306,0.403509673,0.617126698,0.351845184,0.485026065,0.709463132,0.916119113,0.936599541,0.047715436
Viacoin_VIA,VIA,Crypto,0.013814535,1.290958241,11.66545884,1.466317318,0.052165681,-0.170804764,-0.224417465,-0.301035794,-0.335427081,-0.243241866,-0.293572069,-0.357353542,-0.39073609,0.180732737,0.263531077,0.382669066,0.48925014,0.315088309,0.418135386,0.568222419,0.674607731,0.782765534,0.106484905
BitShares_BTS,BTS,Crypto,0.007837952,0.97178247,12.92440125,1.287585486,0.033446415,-0.125395616,-0.172508615,-0.235277491,-0.28704372,-0.195494809,-0.247295313,-0.322157506,-0.368153944,0.133868265,0.182734318,0.305662941,0.36037249,0.231576881,0.310670443,0.41662775,0.490549097,0.547511101,0.359296005
Stellar_XLM,XLM,Crypto,0.008412712,3.212068067,39.54778822,1.325346903,0.032623291,-0.118073504,-0.154348995,-0.207250235,-0.295325026,-0.175292275,-0.217916113,-0.279126463,-0.317444796,0.132558627,0.198948902,0.289084213,0.403171466,0.249455982,0.339009821,0.50872116,0.628868477,0.773898222,0.179994843
Syscoin_SYS,SYS,Crypto,0.013716254,1.068774602,26.63540641,1.531678047,0.051167251,-0.149900279,-0.203645693,-0.293572999,-0.356506035,-0.242498347,-0.311231516,-0.437271089,-0.534636084,0.170283138,0.269605476,0.356681634,0.422228001,0.300462056,0.392865175,0.518370569,0.647029818,0.665441086,0.288136021
Emercoin_EMC,EMC,Crypto,0.023679571,1.204398125,34.94251178,1.237719193,0.045887971,-0.17728839,-0.25655655,-0.431300113,-0.539823108,-0.330953253,-0.447026799,-0.64304434,-0.820405075,0.194198275,0.306761027,0.46640844,0.593813319,0.401556186,0.548644446,0.786707892,1.081735571,0.807155135,0.192844665
Clams_CLAM,CLAM,Crypto,0.015184527,1.194012454,30.60870864,1.389099019,0.045154935,-0.151812427,-0.231787336,-0.369533155,-0.445305175,-0.292007201,-0.39158579,-0.525049783,-0.623468545,0.157677751,0.203826856,0.36000025,0.456039093,0.288350212,0.394690202,0.601810298,0.760539757,0.79900965,0.185622134
Burst_BURST,BURST,Crypto,0.011893899,0.779970412,11.33622442,1.55127499,0.051695116,-0.15771117,-0.215459142,-0.306289693,-0.404728087,-0.244948992,-0.309506005,-0.392395108,-0.43717796,0.165263803,0.224997311,0.313348398,0.443492711,0.271789972,0.347563083,0.481886544,0.5860128,0.703243882,0.221166436
GameCredits_GAME,GAME,Crypto,0.044045806,1.524907288,48.59170073,1.253709668,0.052940089,-0.197406784,-0.283611085,-0.502779226,-0.653302553,-0.415341737,-0.595544979,-0.944233547,-1.351401321,0.23540139,0.375453975,0.720514958,0.962203247,0.539666548,0.791565909,1.198280028,1.620329675,0.899812415,0.100187385
Ubiq_UBQ,UBQ,Crypto,0.016159063,-2.812582365,55.23066126,1.520827687,0.055270311,-0.162645172,-0.223404857,-0.293452705,-0.350609864,-0.274600721,-0.355434948,-0.509913354,-0.730674298,0.193782032,0.252119966,0.367631147,0.457191817,0.290703137,0.367484501,0.458703152,0.516392025,0.691142853,0.263947861
bitCNY_BITCN,BITCN,Crypto,0.016951757,0.147099719,129.29561,1.187029256,0.01298868,-0.059615803,-0.090397797,-0.174280346,-0.544367503,-0.21134458,-0.352530125,-0.696886233,-1.117411501,0.061104286,0.098340206,0.19947958,0.562257271,0.219517351,0.364992336,0.722008484,1.123754885,0.917815027,0.082184773
Verge_XVG,XVG,Crypto,0.033263515,1.52985166,17.9813709,1.079350835,0.055746876,-0.24593657,-0.349905322,-0.461134146,-0.620452432,-0.392779057,-0.488829772,-0.615650702,-0.723020346,0.29127841,0.405465108,0.557471795,0.70049514,0.489574215,0.644446732,0.864607885,1.145731529,0.896831832,0.103167968
Blocknet_BLOCK,BLOCK,Crypto,0.019622288,0.606801286,12.06694304,1.562924789,0.066564422,-0.19276946,-0.246382505,-0.33188624,-0.435115361,-0.295799693,-0.371006661,-0.496052465,-0.658301583,0.221022706,0.287450671,0.446137575,0.61975015,0.354639041,0.461284466,0.635463785,0.782596349,0.53011381,0.180712651
OKCash_OK,OK,Crypto,0.030204135,1.323423004,24.02757046,1.362328632,0.065340689,-0.215493405,-0.300666457,-0.445181526,-0.602648549,-0.372712334,-0.490606198,-0.691290029,-0.845641273,0.271311228,0.393501257,0.590223695,0.699585207,0.461723395,0.602748039,0.814768793,0.994323981,0.481099908,0.491162191
Nexus_NXS,NXS,Crypto,0.0179537,0.682138819,7.956912004,1.399396889,0.058424026,-0.19174851,-0.240956115,-0.3539779,-0.432246281,-0.28278419,-0.350243108,-0.450763562,-0.509046588,0.226203967,0.321803174,0.417166639,0.506484409,0.359943601,0.440966691,0.552434207,0.640890976,0.872487075,0.124644665
Tether_USDT,USDT,Crypto,0.00065898,-10.27724571,570.239347,0.222412533,1.40E-06,-0.009950331,-0.010036785,-0.019562779,-0.028372554,-0.042336497,-0.043450813,-0.085582762,-0.150335932,0.009950331,0.01138867,0.019608471,0.030578261,0.031926463,0.037785154,0.074234605,0.116390598,0.791788575,0.208211225
NEM_XEM,XEM,Crypto,0.010003503,2.435007144,22.80007981,1.440578803,0.041063631,-0.13131707,-0.175594006,-0.235179266,-0.263547751,-0.187872546,-0.232247644,-0.272325211,-0.295148987,0.152809027,0.217667358,0.29749077,0.426660446,0.27395256,0.368004812,0.528891423,0.70209836,0.849880439,0.139899312
Aeon_AEON,AEON,Crypto,0.019206926,1.792434852,18.27815756,1.475424685,0.061657193,-0.191398315,-0.249177034,-0.318483201,-0.388619606,-0.274669947,-0.326572692,-0.402275838,-0.466119136,0.225893692,0.286706987,0.425948213,0.546685264,0.367003739,0.474795063,0.650518072,0.85930758,0.937431072,0.062512052
Ethereum_ETH,ETH,Crypto,0.007926915,-2.879234885,57.95838768,1.286113689,0.030925205,-0.116009604,-0.145186911,-0.206551301,-0.263593207,-0.189630825,-0.252679142,-0.366094028,-0.52433403,0.136520979,0.179450938,0.275987441,0.317962016,0.210966961,0.269666858,0.350521589,0.414844936,0.757807754,0.182091497
Siacoin_SC,SC,Crypto,0.012963758,1.068361386,8.83036087,1.194157759,0.039301864,-0.154521313,-0.215281636,-0.281623784,-0.346633718,-0.239075792,-0.292426586,-0.369357674,-0.434102029,0.206809915,0.289506356,0.447337764,0.503511291,0.337160021,0.422765933,0.523041251,0.571271828,0.879945672,0.115123955
Shift_SHIFT,SHIFT,Crypto,0.024517138,2.292458875,34.79474854,1.39093177,0.060618846,-0.205891228,-0.322336064,-0.435253474,-0.515536714,-0.345503423,-0.444713539,-0.551216387,-0.627630134,0.231453956,0.323546061,0.398381152,0.568626406,0.390208105,0.502386586,0.740424771,1.008447511,0.962808328,0.036961702
Factom_FCT,FCT,Crypto,0.011775096,3.613441196,49.90955803,1.463827446,0.044688187,-0.144914747,-0.190039508,-0.266291048,-0.29412068,-0.20371584,-0.245941542,-0.296453375,-0.31438211,0.170139318,0.225329852,0.313689407,0.383343706,0.284648461,0.374194379,0.53537955,0.72310989,0.803222643,0.165219637
Augur_REP,REP,Crypto,0.009532194,0.325697571,13.68118459,1.547073903,0.045143535,-0.14310315,-0.189849368,-0.267901295,-0.313608224,-0.221136207,-0.275562554,-0.374093419,-0.435583043,0.133498071,0.18326815,0.327494949,0.383279737,0.234510565,0.320421293,0.442632847,0.516998571,0.856181157,0.120430195
Decred_DCR,DCR,Crypto,0.007466981,1.147823534,7.567193043,1.304313486,0.035423367,-0.124778385,-0.149202255,-0.181335944,-0.229455461,-0.164086066,-0.190213973,-0.23200541,-0.256680552,0.162228066,0.216754435,0.318977566,0.387728308,0.247391143,0.306160379,0.393303579,0.431549877,0.950888878,0.038510546
PIVX_PIVX,PIVX,Crypto,0.016924283,1.838197621,18.83719825,1.318576061,0.047501311,-0.168176975,-0.22305973,-0.329531198,-0.399904474,-0.260377201,-0.327860185,-0.441165704,-0.504277265,0.189619833,0.286834142,0.421446668,0.675257778,0.368999104,0.49069312,0.701328178,0.856118459,0.878474953,0.120931876
SafexToken_SFT,SFT,Crypto,0.029672509,2.26997478,31.66428413,1.376786589,0.059087477,-0.185838163,-0.255597324,-0.470224569,-0.543589123,-0.350904743,-0.478959721,-0.643436977,-0.76571375,0.230991568,0.349925261,0.51371411,0.838634998,0.456920129,0.637524688,0.97498738,1.256680971,0.891649327,0.056410352
Lisk_LSK,LSK,Crypto,0.017510649,-1.969797885,42.82491792,1.279236842,0.038977129,-0.142602965,-0.201978783,-0.361360102,-0.565666809,-0.30636112,-0.450782697,-0.708220747,-1.037437949,0.16094063,0.211766722,0.381479209,0.587543469,0.297178418,0.413961068,0.612127811,0.781876295,0.79915782,0.195363778
DigixDAO_DGD,DGD,Crypto,0.010176439,-2.500703042,39.27631818,1.443063937,0.040229909,-0.133151499,-0.185805701,-0.251297352,-0.297665642,-0.234135768,-0.315646567,-0.451867479,-0.681435843,0.143949861,0.215142831,0.264646891,0.333408419,0.22654605,0.281938376,0.35138165,0.426599375,0.647886399,0.259890736
Steem_STEEM,STEEM,Crypto,0.014495217,2.953045528,27.24210551,1.472242426,0.048939161,-0.159363557,-0.206334886,-0.270603295,-0.307562115,-0.225022112,-0.264661766,-0.320710005,-0.355483843,0.158383937,0.258010783,0.402672095,0.513283296,0.324622704,0.45777589,0.671227371,0.951548957,0.416954856,0.583044944
Waves_WAVES,WAVES,Crypto,0.00921132,-1.564423463,27.69564818,1.37349575,0.038248496,-0.141058255,-0.180860439,-0.247238176,-0.308770004,-0.221468299,-0.283669622,-0.408183903,-0.540912085,0.13848326,0.203766025,0.289897494,0.324871043,0.230400914,0.288165324,0.351847482,0.390006302,0.817102257,0.170982051
LBRYCredits_LBC,LBC,Crypto,0.017034655,1.37189877,17.69601392,1.410486792,0.05215952,-0.170519433,-0.248713117,-0.316873391,-0.435948806,-0.280323775,-0.351814668,-0.480023684,-0.588737379,0.184547687,0.28175473,0.406372145,0.586869778,0.341548886,0.455677091,0.652783874,0.827101757,0.900385331,0.079840886
SteemDollars_SBD,SBD,Crypto,0.011455715,0.61117189,87.71124176,1.10650048,0.022556391,-0.102673427,-0.165741707,-0.224109653,-0.300693144,-0.209004681,-0.293927655,-0.451080826,-0.648213815,0.105683813,0.16499132,0.282421851,0.497115527,0.245589123,0.367566887,0.594801736,0.823826731,0.927555412,0.072444388
EthereumClassic_ETC,ETC,Crypto,0.009019665,4.277436486,70.20624188,1.275995789,0.031148052,-0.122812018,-0.156671956,-0.18930703,-0.329223375,-0.187615554,-0.238519895,-0.33788587,-0.396891586,0.134527879,0.182361833,0.246541969,0.3261049,0.235245163,0.313250556,0.466954611,0.652303486,0.584338134,0.404931626
Ardor_ARDR,ARDR,Crypto,0.008596415,0.5084103,8.568441733,1.431015213,0.041430088,-0.140557033,-0.170519236,-0.228849665,-0.310932271,-0.201752747,-0.249932737,-0.319304769,-0.381445109,0.14496802,0.195735172,0.302963681,0.365753252,0.233737167,0.303513876,0.396275963,0.463374099,0.860457341,0.11084977
Stratis_STRAT,STRAT,Crypto,0.011338013,0.946413195,9.414594237,1.505171893,0.050210836,-0.149543089,-0.196462323,-0.234854735,-0.288374299,-0.213855537,-0.259377717,-0.323493813,-0.383457897,0.168971135,0.247016977,0.364633531,0.430518358,0.281466061,0.357481675,0.474961176,0.552043434,0.873111726,0.112994219
EDCBlockchain_EDC,EDC,Crypto,0.035570807,-7.610957982,101.1069388,1.282146587,0.042658345,-0.178632605,-0.221551292,-0.451902309,-1.270529957,-0.470579137,-0.729671606,-1.33806127,-1.994960319,0.153790482,0.231505285,0.327215743,0.439601954,0.269881026,0.359822048,0.494562546,0.604223412,0.480227575,0.519772225
