Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
HIG,"Hartford Financial Services Group, Inc. (The)",42.24,17301922429,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/hig
TROW,"T. Rowe Price Group, Inc.",68.9,17300470786,n/a,1986,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/trow
IBKR,"Interactive Brokers Group, Inc.",39.73,16278918432,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/ibkr
NTRS,Northern Trust Corporation,69.01,15956513179,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ntrs
MTB,M&T Bank Corporation,115.74,15426958906,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/mtb
FITB,Fifth Third Bancorp,19.32,15346478591,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fitb
IVZ,Invesco Plc,32.53,13788240619,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/ivz
CFG,"Citizens Financial Group, Inc.",25.28,13338654992,n/a,2014,Finance,Major Banks,http://www.nasdaq.com/symbol/cfg
L,Loews Corporation,37.05,13128393997,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/l
EFX,"Equifax, Inc.",109.23,12941091863,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/efx
PFG,Principal Financial Group Inc,42.32,12389228245,n/a,2001,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/pfg
RF,Regions Financial Corporation,9.26,12088640106,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/rf
MKL,Markel Corporation,866.3,12085104174,n/a,1986,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/mkl
FNF,"Fidelity National Financial, Inc.",33.76,11928169659,n/a,2014,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/fnf
LNC,Lincoln National Corporation,46.92,11611339038,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/lnc
CBG,"CBRE Group, Inc.",32.91,10997419647,n/a,2004,Finance,Real Estate,http://www.nasdaq.com/symbol/cbg
KEY,KeyCorp,12.62,10542330594,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/key
NDAQ,"Nasdaq, Inc.",57.23,9399256841,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/ndaq
CINF,Cincinnati Financial Corporation,57.09,9354304343,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/cinf
CNA,CNA Financial Corporation,34.11,9218589919,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/cna
ALLY,Ally Financial Inc.,18.32,8825699919,n/a,2014,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/ally
HBAN,Huntington Bancshares Incorporated,10.55,8404757092,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/hban
SEIC,SEI Investments Company,50.22,8268163499,n/a,1981,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/seic
ETFC,E*TRADE Financial Corporation,27.98,8197244220,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/etfc
AMG,"Affiliated Managers Group, Inc.",147.93,7993691043,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/amg
RJF,"Raymond James Financial, Inc.",54.26,7767248733,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/rjf
UNM,Unum Group,31.69,7714848264,n/a,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/unm
CIT,CIT Group Inc (DEL),38.32,7701182739,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/cit
NYCB,"New York Community Bancorp, Inc.",15.85,7686351432,n/a,n/a,Finance,Banks,http://www.nasdaq.com/symbol/nycb
VOYA,"Voya Financial, Inc.",34.58,7445993517,n/a,2013,Finance,Life Insurance,http://www.nasdaq.com/symbol/voya
Y,Alleghany Corporation,473.22,7369262459,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/y
SBNY,Signature Bank,143.17,7284432475,n/a,2004,Finance,Major Banks,http://www.nasdaq.com/symbol/sbny
OAK,"Oaktree Capital Group, LLC",46.59,7174364422,n/a,2012,Finance,Investment Managers,http://www.nasdaq.com/symbol/oak
CMA,Comerica Incorporated,40.51,7159527356,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cma
AJG,Arthur J. Gallagher & Co.,39.53,6984753350,n/a,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/ajg
JLL,Jones Lang LaSalle Incorporated,154.46,6957007374,n/a,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/jll
TMK,Torchmark Corporation,55.91,6895395116,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/tmk
WRB,W.R. Berkley Corporation,53.08,6544008247,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/wrb
AFG,"American Financial Group, Inc.",70.21,6132780802,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afg
APO,"Apollo Global Management, LLC",14.85,5964504089,n/a,2011,Finance,Investment Managers,http://www.nasdaq.com/symbol/apo
SIVB,SVB Financial Group,114.61,5901636913,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sivb
EWBC,"East West Bancorp, Inc.",39.95,5748841714,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ewbc
RGA,"Reinsurance Group of America, Incorporated",84.42,5550564432,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/rga
ROL,"Rollins, Inc.",24.87,5436341582,n/a,n/a,Finance,Diversified Commercial Services,http://www.nasdaq.com/symbol/rol
TFSL,TFS Financial Corporation,18.39,5331290369,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/tfsl
ZION,Zions Bancorporation,25.65,5240154335,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/zion
AIZ,"Assurant, Inc.",78.78,5186803825,n/a,2004,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/aiz
CBOE,"CBOE Holdings, Inc.",62.46,5150138238,n/a,2010,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cboe
PACW,PacWest Bancorp,41.82,5026825224,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/pacw
TRU,TransUnion,27.41,4995856596,n/a,2015,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/tru
RLGY,Realogy Holdings Corp.,33.92,4976250764,n/a,2012,Finance,Real Estate,http://www.nasdaq.com/symbol/rlgy
CG,The Carlyle Group L.P.,15.24,4935635834,n/a,2012,Finance,Investment Managers,http://www.nasdaq.com/symbol/cg
AFSI,"AmTrust Financial Services, Inc.",59.09,4899394110,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afsi
ORI,Old Republic International Corporation,18.68,4883822563,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ori
PBCT,"People&#39;s United Financial, Inc.",15.61,4842743561,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/pbct
SFG,"StanCorp Financial Group, Inc.",114.04,4829126892,n/a,1999,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/sfg
CACC,Credit Acceptance Corporation,215.05,4429380119,n/a,1992,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/cacc
BRO,"Brown & Brown, Inc.",31.38,4423492495,n/a,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/bro
ERIE,Erie Indemnity Company,94.07,4345244753,n/a,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/erie
OZRK,Bank of the Ozarks,48.05,4241312332,n/a,1997,Finance,Major Banks,http://www.nasdaq.com/symbol/ozrk
WTM,"White Mountains Insurance Group, Ltd.",734.7,4177625426,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/wtm
SNV,Synovus Financial Corp.,31.11,4062978973,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/snv
ISBC,"Investors Bancorp, Inc.",12,4062268560,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/isbc
MKTX,"MarketAxess Holdings, Inc.",108.76,4055849751,n/a,2004,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/mktx
LM,"Legg Mason, Inc.",37.58,4048443419,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/lm
CBSH,"Commerce Bancshares, Inc.",41.2,4015506253,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cbsh
NAVI,Navient Corporation,10.93,3960033588,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/navi
LPLA,LPL Financial Holdings Inc.,40.77,3872940891,n/a,2010,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/lpla
BOKF,BOK Financial Corporation,56.69,3838651727,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bokf
FAF,First American Corporation (The),35.26,3834313299,n/a,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/faf
LC,LendingClub Corporation,10.12,3823977385,n/a,2014,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/lc
FNFV,"Fidelity National Financial, Inc.",10.66,3766418500,n/a,2014,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/fnfv
FNFG,First Niagara Financial Group Inc.,10.56,3746542198,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fnfg
EEFT,"Euronet Worldwide, Inc.",70.85,3741725666,n/a,1997,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/eeft
SYA,Symetra Financial Corporation,31.81,3694871528,n/a,2010,Finance,Life Insurance,http://www.nasdaq.com/symbol/sya
BKU,"BankUnited, Inc.",35.17,3640954062,n/a,2011,Finance,Savings Institutions,http://www.nasdaq.com/symbol/bku
DNB,Dun & Bradstreet Corporation (The),99.78,3605358623,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/dnb
WAL,Western Alliance Bancorporation,34.85,3565408603,n/a,2005,Finance,Major Banks,http://www.nasdaq.com/symbol/wal
EV,Eaton Vance Corporation,30.73,3561163351,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/ev
CFR,"Cullen/Frost Bankers, Inc.",56.97,3550374160,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cfr
MORN,"Morningstar, Inc.",79.65,3521871386,n/a,2005,Finance,Investment Managers,http://www.nasdaq.com/symbol/morn
THG,"The Hanover Insurance Group, Inc.",80.08,3463241061,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/thg
UMPQ,Umpqua Holdings Corporation,15.24,3356107507,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/umpq
CNO,"CNO Financial Group, Inc.",18.03,3352873531,n/a,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/cno
FHN,First Horizon National Corporation,14.03,3286351269,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fhn
WBS,Webster Financial Corporation,35.53,3257332166,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/wbs
PB,"Prosperity Bancshares, Inc.",45.54,3189170299,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/pb
PVTB,"PrivateBancorp, Inc.",39.14,3094067804,n/a,1999,Finance,Major Banks,http://www.nasdaq.com/symbol/pvtb
VIRT,"Virtu Financial, Inc.",22.32,3090145053,n/a,2015,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/virt
SEB,Seaboard Corporation,2585,3025871750,n/a,1996,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/seb
FMER,FirstMerit Corporation,18.09,2998636371,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fmer
FCNCA,"First Citizens BancShares, Inc.",248.01,2978700544,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcnca
OZM,Och-Ziff Capital Management Group LLC,6.14,2915312684,n/a,2007,Finance,Investment Managers,http://www.nasdaq.com/symbol/ozm
MTG,MGIC Investment Corporation,8.43,2863304548,n/a,1991,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/mtg
FII,"Federated Investors, Inc.",27.42,2854755509,n/a,1998,Finance,Investment Managers,http://www.nasdaq.com/symbol/fii
BPOP,"Popular, Inc.",27.5,2848603175,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bpop
HOMB,"Home BancShares, Inc.",39.4,2762200828,n/a,2006,Finance,Major Banks,http://www.nasdaq.com/symbol/homb
SF,Stifel Financial Corporation,39.51,2746254837,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/sf
ASB,Associated Banc-Corp,18.17,2731457779,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asb
RLI,RLI Corp.,62.61,2716287016,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/rli
RDN,Radian Group Inc.,12.96,2681058113,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/rdn
BOH,Bank of Hawaii Corporation,61.5,2662429956,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/boh
KW,Kennedy-Wilson Holdings Inc.,23.15,2650610388,n/a,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/kw
ANAT,American National Insurance Company,97.53,2622728190,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/anat
SLM,SLM Corporation,6.1,2599261454,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/slm
PRA,ProAssurance Corporation,48.6,2582751112,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pra
APAM,Artisan Partners Asset Management Inc.,34.59,2539219800,n/a,2013,Finance,Investment Managers,http://www.nasdaq.com/symbol/apam
MCY,Mercury General Corporation,45.73,2522670847,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/mcy
UBSI,"United Bankshares, Inc.",35.94,2500460305,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ubsi
JNS,"Janus Capital Group, Inc",13.53,2499601000,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/jns
CBSHP,"Commerce Bancshares, Inc.",26.9256,2467472862,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cbshp
HPP,"Hudson Pacific Properties, Inc.",27.1,2425226750,n/a,2010,Finance,Real Estate,http://www.nasdaq.com/symbol/hpp
CATY,Cathay General Bancorp,29.77,2411461960,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/caty
UE,Urban Edge Properties,23.56,2339299753,n/a,2015,Finance,Real Estate,http://www.nasdaq.com/symbol/ue
BGCP,"BGC Partners, Inc.",9.27,2326387334,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/bgcp
TCB,TCF Financial Corporation,13.68,2319775986,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/tcb
HAWK,"Blackhawk Network Holdings, Inc.",42.27,2309675070,n/a,2013,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/hawk
NSAM,"NorthStar Asset Management Group, Inc.",11.56,2287895504,n/a,2014,Finance,Real Estate,http://www.nasdaq.com/symbol/nsam
WTFC,Wintrust Financial Corporation,47.27,2286315039,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/wtfc
MBFI,MB Financial Inc.,30.87,2274739392,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/mbfi
FNB,F.N.B. Corporation,12.89,2260612121,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fnb
AB,AllianceBernstein Holding L.P.,22.97,2245836117,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/ab
WDR,"Waddell & Reed Financial, Inc.",26.79,2223356966,n/a,1998,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/wdr
UMBF,UMB Financial Corporation,45.09,2222707808,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/umbf
FULT,Fulton Financial Corporation,12.75,2218895250,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fult
VLY,Valley National Bancorp,9.47,2205253899,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/vly
IBKC,IBERIABANK Corporation,53.04,2181724075,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ibkc
PRI,"Primerica, Inc.",45.06,2179182978,n/a,2010,Finance,Life Insurance,http://www.nasdaq.com/symbol/pri
TCBI,"Texas Capital Bancshares, Inc.",47.39,2172564268,n/a,2003,Finance,Major Banks,http://www.nasdaq.com/symbol/tcbi
NGHC,National General Holdings Corp,20.5,2161413257,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/nghc
BXS,"BancorpSouth, Inc.",22.96,2157975845,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bxs
WAFD,"Washington Federal, Inc.",23.05,2144545331,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/wafd
FIG,Fortress Investment Group LLC,4.77,2108557383,n/a,2007,Finance,Investment Managers,http://www.nasdaq.com/symbol/fig
DFT,"Dupont Fabros Technology, Inc.",31.48,2059014721,n/a,2007,Finance,Real Estate,http://www.nasdaq.com/symbol/dft
PNFP,"Pinnacle Financial Partners, Inc.",50.01,2042944257,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/pnfp
STL,Sterling Bancorp,15.72,2039524244,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/stl
WETF,"WisdomTree Investments, Inc.",14.45,1999472149,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/wetf
EVER,EverBank Financial Corp.,15.58,1946804867,n/a,2012,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ever
GBCI,"Glacier Bancorp, Inc.",25.54,1943243796,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/gbci
FFIN,"First Financial Bankshares, Inc.",29.14,1922508819,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ffin
HBHC,Hancock Holding Company,24.69,1910956422,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/hbhc
SIGI,"Selective Insurance Group, Inc.",32.78,1874866851,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/sigi
EVR,Evercore Partners Inc,51.17,1864295594,n/a,2006,Finance,Investment Managers,http://www.nasdaq.com/symbol/evr
KMPR,Kemper Corporation,36.08,1849250562,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/kmpr
COLB,"Columbia Banking System, Inc.",31.6,1824285380,n/a,1992,Finance,Major Banks,http://www.nasdaq.com/symbol/colb
AEL,American Equity Investment Life Holding Company,22.06,1798963197,n/a,2003,Finance,Life Insurance,http://www.nasdaq.com/symbol/ael
HTH,Hilltop Holdings Inc.,18.12,1791987982,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/hth
GNW,Genworth Financial Inc,3.5,1741127350,n/a,2004,Finance,Life Insurance,http://www.nasdaq.com/symbol/gnw
CVBF,CVB Financial Corporation,16.33,1736933069,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cvbf
CFFN,"Capitol Federal Financial, Inc.",12.35,1693562762,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/cffn
SSB,South State Corporation,69.86,1691873811,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ssb
NPBC,"National Penn Bancshares, Inc.",11.96,1678015018,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/npbc
EGBN,"Eagle Bancorp, Inc.",49.95,1671676250,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/egbn
FNGN,"Financial Engines, Inc.",32.27,1661962247,n/a,2010,Finance,Investment Managers,http://www.nasdaq.com/symbol/fngn
ALEX,"Alexander & Baldwin Holdings, Inc.",33.77,1650516348,n/a,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/alex
IBOC,International Bancshares Corporation,24.55,1629491078,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/iboc
PRAA,"PRA Group, Inc.",33.8,1629377030,n/a,2002,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/praa
VAC,Marriot Vacations Worldwide Corporation,51.97,1614459795,n/a,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/vac
CBU,"Community Bank System, Inc.",38.96,1601251169,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cbu
AF,Astoria Financial Corporation,15.39,1551101142,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/af
GWB,"Great Western Bancorp, Inc.",27.81,1536187329,n/a,2014,Finance,Major Banks,http://www.nasdaq.com/symbol/gwb
BANR,Banner Corporation,44.77,1533264560,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/banr
SFNC,Simmons First National Corporation,51.21,1533209579,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sfnc
ABM,ABM Industries Incorporated,27.3,1530762925,n/a,n/a,Finance,Diversified Commercial Services,http://www.nasdaq.com/symbol/abm
FFG,"FBL Financial Group, Inc.",60.89,1508932505,n/a,1996,Finance,Life Insurance,http://www.nasdaq.com/symbol/ffg
TRMK,Trustmark Corporation,22.32,1507892105,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/trmk
ONB,Old National Bancorp,13.07,1496815610,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/onb
NNI,"Nelnet, Inc.",32.52,1458936728,n/a,2003,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/nni
NSM,Nationstar Mortgage Holdings Inc.,13.04,1432133335,n/a,2012,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/nsm
FCB,"FCB Financial Holdings, Inc.",34.7,1421913490,n/a,2014,Finance,Major Banks,http://www.nasdaq.com/symbol/fcb
FMBI,"First Midwest Bancorp, Inc.",17.96,1399970039,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fmbi
CBF,Capital Bank Financial Corp.,31.42,1375217110,n/a,2012,Finance,Major Banks,http://www.nasdaq.com/symbol/cbf
