Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
WFC,Wells Fargo & Company,51.88,2.65E+11,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/wfc
JPM,J P Morgan Chase & Co,62.81,2.31E+11,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/jpm
BAC,Bank of America Corporation,16.08,1.67E+11,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bac
C,Citigroup Inc.,50.12,1.49E+11,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/c
AIG,"American International Group, Inc.",59.75,73911497592,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/aig
GS,"Goldman Sachs Group, Inc. (The)",169.84,72442901924,n/a,1999,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/gs
USB,U.S. Bancorp,41.05,71803718395,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/usb
AXP,American Express Company,64.42,63405122360,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/axp
MS,Morgan Stanley,30.5,59054830750,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/ms
BLK,"BlackRock, Inc.",330.16,54848693699,n/a,1999,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/blk
MET,"MetLife, Inc.",44.37,49322866962,n/a,2000,Finance,Life Insurance,http://www.nasdaq.com/symbol/met
PNC,"PNC Financial Services Group, Inc. (The)",91.6,46515010272,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/pnc
BK,Bank Of New York Mellon Corporation (The),38.82,42428419621,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bk
SCHW,The Charles Schwab Corporation,30.79,40535754347,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/schw
COF,Capital One Financial Corporation,68.55,36471702025,n/a,1994,Finance,Major Banks,http://www.nasdaq.com/symbol/cof
PRU,"Prudential Financial, Inc.",76.92,34537080000,n/a,2001,Finance,Life Insurance,http://www.nasdaq.com/symbol/pru
TRV,"The Travelers Companies, Inc.",109.04,33172017516,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/trv
BX,The Blackstone Group L.P.,27.29,32092061544,n/a,2007,Finance,Investment Managers,http://www.nasdaq.com/symbol/bx
CME,CME Group Inc.,88.93,30079362252,n/a,2002,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cme
CB,Chubb Corporation (The),130.19,29560403976,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/cb
MMC,"Marsh & McLennan Companies, Inc.",54.11,28226383940,n/a,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/mmc
BBT,BB&T Corporation,36.15,28202432803,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bbt
ICE,Intercontinental Exchange Inc.,255.28,28015252010,n/a,2005,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/ice
STT,State Street Corporation,63.07,25447869084,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/stt
MHFI,"McGraw Hill Financial, Inc.",94.08,25429824000,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/mhfi
SYF,Synchrony Financial,29.9,24931393663,n/a,2014,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/syf
AFL,Aflac Incorporated,58.2,24836191118,n/a,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afl
AON,Aon plc,89.88,24619644411,n/a,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/aon
ALL,Allstate Corporation (The),59.85,23180274634,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/all
DFS,Discover Financial Services,51.56,22041064831,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/dfs
BEN,"Franklin Resources, Inc.",35.2,21172429520,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/ben
STI,"SunTrust Banks, Inc.",41.2,20996054570,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sti
MCO,Moody&#39;s Corporation,96.81,19139337000,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/mco
PGR,Progressive Corporation (The),31.06,18155944250,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pgr
KKR,KKR & Co. L.P.,15.14,18076890447,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/kkr
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",100.31,17465130784,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/amp
AMTD,TD Ameritrade Holding Corporation,32.34,17355523310,n/a,1997,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/amtd
