,TYPE,MARKET,FROMSYMBOL,TOSYMBOL,FLAGS,PRICE,LASTUPDATE,LASTVOLUME,LASTVOLUMETO,LASTTRADEID,VOLUMEDAY,VOLUMEDAYTO,VOLUME24HOUR,VOLUME24HOURTO,OPENDAY,HIGHDAY,LOWDAY,OPEN24HOUR,HIGH24HOUR,LOW24HOUR,LASTMARKET,VOLUMEHOUR,VOLUMEHOURTO,OPENHOUR,HIGHHOUR,LOWHOUR,CHANGE24HOUR,CHANGEPCT24HOUR,CHANGEDAY,CHANGEPCTDAY,SUPPLY,MKTCAP,TOTALVOLUME24H,TOTALVOLUME24HTO
VITE,5,CCCAGG,VITE,USD,1,0.0153758,1546196664,0.0,0.0,0,0.0,0.0,0.0,0.0,0.014830658,0.0153758,0.01482366900000014,0.0153758,0.0153758,0.0153758,IDEX,0.0,0.0,0.0153758,0.0153758,0.0153758,0.0,0.0,0.0005451420000000002,3.675777568331764,1000000000.0,15375800.0,1390.4922904866683,21.379931360064916
TEN,5,CCCAGG,TEN,USD,1,0.076328241,1546196662,0.0,0.0,0,0.0,0.0,0.0,0.0,0.07663820340000001,0.0812101488,0.07524337260000001,0.0774131094,0.0812101488,0.075165882,Tokenomy,0.0,0.0,0.0763669863,0.0763669863,0.0761732598,-0.0010848683999999942,-1.401401401401394,-0.0003099624000000023,-0.4044489383215399,200000000.0,15265648.200000001,1475344.3658890561,112610.44031757207
DATX,5,CCCAGG,DATX,USD,4,0.001521858,1546196650,0.0,0.0,0,0.0,0.0,0.0,0.0,0.001563744,0.00167544,0.001479972,0.0015623478,0.0016740438,0.0014534442,Kucoin,0.0,0.0,0.001521858,0.001521858,0.001521858,-4.0489799999999946e-05,-2.591599642537977,-4.1885999999999876e-05,-2.678571428571421,10000000000.0,15218580.0,4655714.331299946,7085.3361008034735
C20,5,CCCAGG,C20,USD,4,0.3741816,1546196650,0.0,0.0,0,0.0,0.0,0.0,0.0,0.37376274,0.3853512,0.37376274,0.40029054,0.40029054,0.37362312,HitBTC,0.0,0.0,0.3741816,0.3741816,0.3741816,-0.02610893999999997,-6.5224973840251055,0.0004188600000000209,0.11206574523721141,40656081.9801672,15212757.805070132,20040.0,7498.599264
NEU,5,CCCAGG,NEU,USD,4,0.21591375,1546196664,0.0,0.0,0,0.0,0.0,0.0,0.0,0.254904,0.254904,0.215774,0.23883275,0.23883275,0.215774,HitBTC,0.0,0.0,0.21591375,0.21591375,0.21591375,-0.022919000000000023,-9.596255119953199,-0.03899025000000003,-15.296052631578958,70082473.5705769,15131769.677899148,10600.0,2288.6857499999996
FML,5,CCCAGG,FML,USD,4,0.007204392,1546196656,0.0,0.0,0,0.0,0.0,0.0,0.0,0.007658157,0.0086550438,0.006833002800000001,0.0074082372,0.0086550438,0.006831606600000001,IDAX,0.0,0.0,0.007204392,0.007204392,0.007204392,-0.0002038452000000003,-2.751601960045236,-0.00045376500000000007,-5.925250683682772,2100000000.0,15129223.2,2019689.999999993,14550.638478479948
QSP,5,CCCAGG,QSP,USD,4,0.015459255,1546196664,0.0,0.0,0,0.0,0.0,0.0,0.0,0.01503306,0.015498,0.01487808,0.01511055,0.01557549,0.01487808,HuobiPro,0.0,0.0,0.015459255,0.015459255,0.015459255,0.0003487049999999995,2.3076923076923044,0.000426194999999999,2.8350515463917456,976442388.321185,15095071.873866221,4912579.249582418,75944.81532700325
SPANK,5,CCCAGG,SPANK,USD,4,0.01495325,1546196664,0.0,0.0,0,0.0,0.0,7928.36822312,112.1303250414488,0.013975,0.016224975,0.013975,0.013975,0.01495325,0.013975,Bitfinex,0.0,0.0,0.01495325,0.01495325,0.01495325,0.00097825,6.999999999999999,0.00097825,6.999999999999999,1000000000.0,14953250.0,349325.4530610592,5217.126283894362
PRO,5,CCCAGG,PRO,USD,2,0.14893578,1546196664,0.0,0.0,0,0.0,0.0,0.0,0.0,0.14428638,0.164317545,0.14149674,0.14614614,0.164550015,0.14134176,HuobiPro,0.0,0.0,0.14924574,0.14924574,0.14831586,0.002789639999999982,1.908801696712607,0.004649399999999998,3.222341568206229,100000000.0,14893577.999999998,9316547.413223956,1387567.2558954922
ABT,5,CCCAGG,ABT,USD,1,0.0784991934,1546196646,0.0,0.0,0,0.0,0.0,0.0,0.0,0.07853793930000001,0.07853793930000001,0.07195113630000001,0.07853793930000001,0.0785766852,0.0719123904,HuobiPro,0.0,0.0,0.0784604475,0.0784991934,0.0735397182,-3.874590000001177e-05,-0.04933399111989657,-3.874590000001177e-05,-0.04933399111989657,186000000.0,14600849.9724,26383521.41967007,2071085.1504957236
DMT,5,CCCAGG,DMT,USD,1,0.25578384,1546196650,0.0,0.0,0,0.0,0.0,0.0,0.0,0.258297,0.2694666,0.251316,0.2624856,0.2694666,0.2485236,BitTrex,0.0,0.0,0.25578384,0.25578384,0.25578384,-0.006701760000000001,-2.5531914893617027,-0.0025131600000000143,-0.9729729729729785,56921773.1719715,14559669.72153585,57601.74988207117,14733.59677555571
BMX,5,CCCAGG,BMX,USD,4,0.014897454,1546196650,0.0,0.0,0,0.0,0.0,0.0,0.0,0.014688024,0.015051036,0.0146601,0.015441972,0.015525744,0.0146601,BitMart,0.0,0.0,0.01486953,0.014925378,0.014841606,-0.0005445180000000008,-3.526220614828215,0.00020943000000000003,1.425855513307985,967170510.542945,14408378.190970037,6724860.499999979,100183.29995516667
TNB,5,CCCAGG,TNB,USD,4,0.00325458,1546196664,0.0,0.0,0,0.0,0.0,12218.664,42.060979915199994,0.00317709,0.003293325,0.003138345,0.00317709,0.003293325,0.003138345,HuobiPro,0.0,0.0,0.00325458,0.00325458,0.00325458,7.748999999999994e-05,2.4390243902439006,7.748999999999994e-05,2.4390243902439006,4415707418.21869,14371273.049186183,47477827.04125286,154522.68069235483
SCC,5,CCCAGG,SCC,USD,4,0.0014335761,1546196662,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0014335761,0.0014335761,0.0013948308,0.0014335761,0.0014335761,0.0013948308,HitBTC,0.0,0.0,0.0014335761,0.0014335761,0.0014335761,0.0,0.0,0.0,0.0,10000000000.0,14335761.0,40361000.0,57860.5649721
AST,5,CCCAGG,AST,USD,4,0.0285944742,1546196646,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0277420644,0.0285944742,0.0274708431,0.0279745398,0.0286332201,0.0274320972,HuobiPro,0.0,0.0,0.0285944742,0.0285944742,0.0285944742,0.0006199344000000009,2.216066481994463,0.0008524098000000022,3.07262569832403,500000000.0,14297237.1,4074950.0622667405,116521.05442177471
TRIO,5,CCCAGG,TRIO,USD,4,0.002853695,1546196664,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0029445325,0.0030731025,0.002795,0.00305214,0.0030731025,0.002795,OKEX,0.0,0.0,0.0028522975,0.002859285,0.002848105,-0.00019844500000000022,-6.501831501831509,-9.083750000000003e-05,-3.0849549121974382,5000000000.0,14268475.0,116142043.49999875,331433.9688257289
EMC,5,CCCAGG,EMC,USD,4,0.3302261919,1546196662,0.0,0.0,0,0.0,0.0,3046.45731862,1004.7441128352963,0.332047221,0.3363479493000001,0.3258092277,0.3276690021,0.3368128929,0.3240269439,LiveCoin,0.0,0.0,0.3301487013,0.3302261919,0.3301487013,0.002557189800000026,0.7804185881518347,-0.0018210290999999823,-0.5484247374562373,43059794.804778,14219472.062377244,95334.33100060232,31480.617197384552
CBT,5,CCCAGG,CBT,USD,4,0.014,1546175426,6000.0,84.0,328944202,12036.63055355,162.36180426024737,23099.146145339997,302.3144238505008,0.01345,0.014,0.006556,0.007311,0.014,0.007311,Bitfinex,0.0,0.0,0.014,0.014,0.014,0.0066890000000000005,91.49227191902614,0.0005500000000000001,4.089219330855019,1000000000.0,14000000.0,43999.146145340164,594.9144238505032
XIN,5,CCCAGG,XIN,USD,4,0.0015498,1546196671,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00162729,0.001666035,0.0015498,0.00162729,0.00162729,0.0015498,BitBay,0.0,0.0,0.0015498,0.0015498,0.0015498,-7.748999999999994e-05,-4.761904761904758,-7.748999999999994e-05,-4.761904761904758,8999999990.0,13948199.984502,2099266.284642414,3253.442887938814
ORS,5,CCCAGG,ORS,USD,4,0.04584,1546127975,3997.4467,183.25894651480002,NaN,0.1,0.0045101,3997.4467,183.2589465148,0.04584,0.04614,0.044876,0.04614,0.04614,0.04584,Bitfinex,0.0,0.0,0.04584,0.04584,0.04584,-0.00030000000000000165,-0.6501950585175589,0.0,0.0,300000000.0,13752000.0,3997.4467000013387,183.25894651486135
CCRB,5,CCCAGG,CCRB,USD,4,0.19,1546195808,808.41,153.5979,370974,81732.88999999998,13783.054337000005,95416.52,16131.701569,0.1565,0.19,0.1504,0.17,0.19,0.1504,CryptoCarbon,0.0,0.0,0.19,0.19,0.19,0.01999999999999999,11.764705882352935,0.0335,21.405750798722046,70000000.0,13300000.0,1761308.5513295005,332651.1875216051
NRG,5,CCCAGG,NRG,USD,4,1.17398259,1546196662,0.0,0.0,0,0.0,0.0,0.0,0.0,1.164683718,1.18173165,1.139886726,1.139886726,1.18173165,1.139886726,Cryptopia,0.0,0.0,1.17398259,1.17398259,1.17398259,0.034095863999999976,2.9911624745071355,0.009298872000000014,0.7984031936127756,11279553.0,13241998.84498227,3435.838525119999,4033.6146105421567
LBA,5,CCCAGG,LBA,USD,1,0.01305265,1546196664,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0131924,0.01362842,0.0127410075,0.0138254675,0.0138701875,0.012720045,Bibox,0.0,0.0,0.0130247,0.0130540475,0.012803895,-0.0007728175,-5.589810977458809,-0.00013974999999999925,-1.0593220338982996,1000000000.0,13052650.0,5215031.376921514,68069.9793019746
ITC,5,CCCAGG,ITC,USD,4,0.1302990987,1546196659,0.0,0.0,0,0.0,0.0,0.0,0.0,0.1327787723,0.132895007,0.1288267925,0.1326237927,0.134444803,0.1287493027,OKEX,0.0,0.0,0.1304540783,0.1308415273,0.1302216089,-0.0023246939999999883,-1.7528483786152411,-0.002479673599999982,-1.867522614531647,100000000.0,13029909.870000001,7505973.653093746,978021.6018640616
ORME,5,CCCAGG,ORME,USD,1,0.064760342,1546196657,0.0,0.0,0,0.0,0.0,0.0,0.0,0.06668765,0.06955067999999999,0.062623544,0.069885864,0.07012328599999999,0.062623544,Bibox,0.0,0.0,0.06459275,0.064760342,0.06452292,-0.005125522000000007,-7.334132693844935,-0.0019273080000000026,-2.8900523560209463,200000000.0,12952068.4,722053.7741798467,46760.44935827764
AUTO,5,CCCAGG,AUTO,USD,4,0.0017969094,1546196650,0.0,0.0,0,0.0,0.0,0.0,0.0,0.001710345,0.0018052866,0.001703364,0.0017396652,0.0018052866,0.001703364,OKEX,0.0,0.0,0.0017969094,0.0017969094,0.0017969094,5.72442000000002e-05,3.2905296950240888,8.656440000000005e-05,5.06122448979592,7200000000.0,12937747.680000002,556720282.3999999,1000375.9086152144
DAX,5,CCCAGG,DAX,USD,2,0.006393073500000001,1546196646,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0064318194,0.0096477291,0.0055794096,0.0079429095,0.0096477291,0.0055794096,LBank,0.0,0.0,0.0065093112,0.007206737400000001,0.0059668686,-0.0015498359999999989,-19.512195121951205,-3.8745899999999625e-05,-0.602409638554211,2000000000.0,12786147.000000002,107138815.25049879,684946.3205993597
PLC,5,CCCAGG,PLC,USD,4,0.00015498,1546196664,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00015498,0.00015498,0.00015498,0.00015498,0.00015498,0.00015498,Cryptopia,0.0,0.0,0.00015498,0.00015498,0.00015498,0.0,0.0,0.0,0.0,82500000000.0,12785850.0,63798.01493399988,9.887416354471302
SOAR,5,CCCAGG,SOAR,USD,4,0.0025476425,1546196664,0.0,0.0,0,0.0,0.0,0.0,0.0,0.001288495,0.0025476425,0.001288495,0.001288495,0.0025476425,0.001288495,LiveCoin,0.0,0.0,0.0025476425,0.0025476425,0.0025476425,0.0012591475,97.72234273318871,0.0012591475,97.72234273318871,5000000000.0,12738212.5,374154.49515958026,953.2118934345909
IGNIS,5,CCCAGG,IGNIS,USD,4,0.016699095,1546196664,0.0,0.0,0,0.0,0.0,0.0,0.0,0.01689282,0.0170478,0.01642788,0.0162729,0.0170478,0.0162729,BitTrex,0.0,0.0,0.016699095,0.016699095,0.016621605,0.00042619500000000074,2.6190476190476235,-0.00019372499999999876,-1.1467889908256808,761143950.0,12710415.129725251,11565373.070421536,193131.2636134109
TKN,5,CCCAGG,TKN,USD,1,0.32034366,1546196664,0.0,0.0,0,0.0,0.0,0.0,0.0,0.278615295,0.32034366,0.278615295,0.32034366,0.32034366,0.32034366,HitBTC,0.0,0.0,0.32034366,0.32034366,0.32034366,0.0,0.0,0.04172836499999999,14.977054651647888,39406759.9283204,12623705.704179494,1.0,0.32034366
WABI,5,CCCAGG,WABI,USD,4,0.123480315,1546196671,0.0,0.0,0,0.0,0.0,0.0,0.0,0.121465575,0.12413898,0.119373345,0.12328659,0.125107605,0.11786229,Binance,0.0,0.0,0.123480315,0.123480315,0.123480315,0.00019372499999999182,0.157133878064104,0.002014739999999987,1.6586921850079637,100000000.0,12348031.5,629458.6000000018,77725.74620745922
TNT,5,CCCAGG,TNT,USD,4,0.012282165,1546196664,0.0,0.0,0,0.0,0.0,0.0,0.0,0.012204675,0.012592125,0.011972205,0.012204675,0.012592125,0.011972205,HuobiPro,0.0,0.0,0.012282165,0.012282165,0.012282165,7.74899999999995e-05,0.6349206349206309,7.74899999999995e-05,0.6349206349206309,1000000000.0,12282165.0,17095761.269019857,209972.96070671125
RCN,5,CCCAGG,RCN,USD,4,0.01224342,1546196664,0.0,0.0,0,0.0,0.0,1052.54635252,14.70723018376196,0.01216593,0.012282165,0.011894715,0.01216593,0.01232091,0.01193346,HuobiPro,0.0,0.0,0.012127185,0.01224342,0.012127185,7.74899999999995e-05,0.6369426751592316,7.74899999999995e-05,0.6369426751592316,999942647.35309,12242717.807455769,13054465.531967895,159833.12484652674
DTA,5,CCCAGG,DTA,USD,4,0.0010461393,1546196646,0.0,0.0,0,0.0,0.0,112232.269991,120.58614927834779,0.0010848852,0.0010848852,0.0010073934,0.0010848852,0.0010848852,0.0010073934,HuobiPro,0.0,0.0,0.0010461393,0.0010461393,0.0010461393,-3.874589999999984e-05,-3.5714285714285574,-3.874589999999984e-05,-3.5714285714285574,11500000000.0,12030601.950000001,206760081.92099792,216303.02292968798
UTK,5,CCCAGG,UTK,USD,2,0.02371194,1546196664,0.0,0.0,0,0.0,0.0,1705.00503099,35.2862612683356,0.023828175,0.024370605,0.02293704,0.02347947,0.024370605,0.022898295,HuobiPro,0.0,0.0,0.023673195,0.023828175,0.02363445,0.00023247000000000198,0.9900990099009986,-0.00011623499999999926,-0.48780487804877737,500000000.0,11855970.0,44893391.161725365,1064504.254907636
VTC,5,CCCAGG,VTC,USD,1,0.247619295,1546196664,0.0,0.0,0,0.0,0.0,0.0,0.0,0.234600975,0.258235425,0.23115267,0.236073285,0.25920405,0.231268905,Poloniex,0.0,0.0,0.247619295,0.247619295,0.24758055,0.011546009999999995,4.890858362054815,0.01301832,5.5491329479768785,47520349.608099,11766955.468111,3025246.5875870064,749109.4272194502
DNT,5,CCCAGG,DNT,USD,4,0.0117400077,1546196646,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0115850241,0.0122049585,0.0113138028,0.0114687864,0.0122049585,0.0113138028,Binance,0.0,0.0,0.0117400077,0.0117400077,0.0117400077,0.0002712212999999991,2.364864864864857,0.0001549835999999985,1.3377926421404551,1000000000.0,11740007.7,31218532.7166128,366505.8144757362
TRAC,5,CCCAGG,TRAC,USD,4,0.02333825,1546196664,0.0,0.0,0,0.0,0.0,0.0,0.0,0.02389725,0.024721775,0.023100675,0.02384135,0.024721775,0.022919,Kucoin,0.0,0.0,0.02333825,0.02333825,0.02333825,-0.0005030999999999994,-2.110199296600232,-0.000558999999999997,-2.3391812865496955,500000000.0,11669125.0,274931.5949,6416.422294674926
SKY,5,CCCAGG,SKY,USD,4,1.0422405,1546196662,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0499895,1.18133505,1.0034955,1.0577385,1.1817225,1.0034955,Binance,0.0,0.0,1.0422405,1.0422405,1.038366,-0.015498000000000012,-1.4652014652014664,-0.007749000000000006,-0.7380073800738013,11000000.0,11464645.499999998,541096.478883432,563952.6646997075
HIT,5,CCCAGG,HIT,USD,4,0.0001118,1546196664,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0001131975,0.00011739,0.0001104025,0.0001159925,0.000125775,0.0001104025,HuobiPro,0.0,0.0,0.0001118,0.0001118,0.0001118,-4.192500000000011e-06,-3.6144578313253106,-1.3975000000000082e-06,-1.2345679012345752,102400000000.0,11448320.0,111514503.56665483,12467.32149875201
XP,5,CCCAGG,XP,USD,4,3.8745e-05,1546196671,0.0,0.0,0,0.0,0.0,0.0,0.0,3.8745e-05,3.8745e-05,3.8745e-05,3.8745e-05,3.8745e-05,3.8745e-05,Bleutrade,0.0,0.0,3.8745e-05,3.8745e-05,3.8745e-05,0.0,0.0,0.0,0.0,294059866898.795,11393349.542993812,528846211.3581824,20490.146459072777
EVN,5,CCCAGG,EVN,USD,4,0.089314914,1546196650,0.0,0.0,0,0.0,0.0,168.5781806,4.88680291754986,0.07274202,0.089314914,0.05905926,0.08335314,0.089314914,0.05905926,TokenStore,0.0,0.0,0.089314914,0.089314914,0.089314914,0.005961773999999989,7.152428810720254,0.01657289399999999,22.78310940499039,127425493.562228,11380996.998917947,84319.2399686422,7520.7959235596245
BTO,5,CCCAGG,BTO,USD,1,0.0112798998,1546196650,0.0,0.0,0,0.0,0.0,0.0,0.0,0.011106771,0.0120170934,0.0108959448,0.0116526852,0.0123382194,0.0108512664,LBank,0.0,0.0,0.0109573776,0.0113776338,0.0109573776,-0.0003727854000000006,-3.199137311286849,0.0001731288000000001,1.5587680703959783,1000000000.0,11279899.799999999,20249614.108203858,228413.61812920586
IVY,5,CCCAGG,IVY,USD,2,0.006941102,1546196657,0.0,0.0,0,0.0,0.0,0.0,0.0,0.007122659999999999,0.017415602,0.006689713999999999,0.00754164,0.017415602,0.006689713999999999,HitBTC,0.0,0.0,0.006996965999999999,0.006996965999999999,0.006941102,-0.0006005379999999994,-7.962962962962955,-0.0001815579999999992,-2.549019607843126,1610924200.0,11181589.1864684,2745037.1837520595,19053.58308621579
PLU,5,CCCAGG,PLU,USD,4,0.559,1546196664,0.0,0.0,0,0.0,0.0,0.0,0.0,0.489125,0.559,0.489125,0.559,0.559,0.489125,HitBTC,0.0,0.0,0.559,0.559,0.559,0.0,0.0,0.06987500000000008,14.285714285714302,20000000.0,11180000.000000002,893.0799999999795,499.23171999998857
NAV,5,CCCAGG,NAV,USD,4,0.1750882031,1546196659,0.0,0.0,0,0.0,0.0,0.0,0.0,0.1691214885,0.1759793358,0.1684628252,0.1693927028,0.1762505501,0.1683465905,Binance,0.0,0.0,0.1743907949,0.1750882031,0.1743907949,0.005695500300000017,3.362305580969818,0.005966714600000006,3.528064146620851,63815100.597902,11173271.294332398,1007933.6411369081,176477.29007070148
SNGLS,5,CCCAGG,SNGLS,USD,4,0.011042325,1546196664,0.0,0.0,0,0.0,0.0,5508.05125061,65.0992090942259,0.0100737,0.01325079,0.00999621,0.010112445,0.01332828,0.00991872,Binance,0.0,0.0,0.01100358,0.011042325,0.01100358,0.000929880000000001,9.195402298850585,0.0009686250000000007,9.615384615384622,1000000000.0,11042325.0,76576771.21822748,845589.8727593821
IHT,5,CCCAGG,IHT,USD,1,0.01098994,1546196664,0.0,0.0,0,0.0,0.0,0.0,0.0,0.01019057,0.0110668025,0.0087581325,0.009231885,0.0110682,0.008756735,LBank,0.0,0.0,0.0108152525,0.01098994,0.009366045,0.0017580549999999997,19.04329397517408,0.0007993700000000006,7.8442128359846475,996491162.0,10951378.08091028,3010629.1049697404,33086.63322587115
TKS,5,CCCAGG,TKS,USD,4,0.218483055,1546196664,0.0,0.0,0,0.0,0.0,0.0,0.0,0.22805307,0.2440935,0.205309755,0.227704365,0.244054755,0.205309755,BitTrex,0.0,0.0,0.218483055,0.218483055,0.218483055,-0.009221309999999983,-4.0496852135443175,-0.009570014999999987,-4.196398233095476,50000000.0,10924152.75,38597.633641259985,8432.928913713256
SWFTC,5,CCCAGG,SWFTC,USD,4,0.00108486,1546196664,0.0,0.0,0,0.0,0.0,0.0,0.0,0.001123605,0.001123605,0.00108486,0.00108486,0.00116235,0.00108486,HuobiPro,0.0,0.0,0.001123605,0.001123605,0.00108486,0.0,0.0,-3.874499999999997e-05,-3.4482758620689626,10000000000.0,10848600.0,1372551816.619997,1489026.56377837
APPC,5,CCCAGG,APPC,USD,4,0.0440540883,1546196646,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0425817441,0.0447127686,0.0419618097,0.0426592359,0.0447127686,0.0419230638,Binance,0.0,0.0,0.04436405550000001,0.04436405550000001,0.0440540883,0.0013948524000000004,3.269754768392372,0.001472344200000003,3.4576888080072865,246203093.0,10846252.798755113,1550383.1383934212,68300.7156776149
FOTA,5,CCCAGG,FOTA,USD,4,0.010764702,1546196656,0.0,0.0,0,0.0,0.0,0.0,0.0,0.010806588,0.01102998,0.010764702,0.01089036,0.011113752,0.010764702,Kucoin,0.0,0.0,0.010764702,0.010764702,0.010764702,-0.00012565800000000071,-1.1538461538461604,-4.1886000000001394e-05,-0.3875968992248191,1000000000.0,10764702.0,203363.1653999996,2189.143873307706
BMC,5,CCCAGG,BMC,USD,4,0.178618599,1546196646,0.0,0.0,0,0.0,0.0,0.0,0.0,0.1812920661,0.183655566,0.175518927,0.174744009,0.183655566,0.174744009,Liqui,0.0,0.0,0.178618599,0.178618599,0.178618599,0.0038745899999999833,2.21729490022172,-0.002673467100000021,-1.4746740756572032,60000000.0,10717115.94,1785695.7228351692,318958.4682531102
PST,5,CCCAGG,PST,USD,1,0.10103925,1546196664,0.0,0.0,0,0.0,0.0,0.0,0.0,0.09992125,0.111953725,0.090907375,0.099515975,0.111953725,0.090907375,LBank,0.0,0.0,0.09360455000000001,0.10103925,0.09174587499999999,0.0015232749999999906,1.5306838927116884,0.001117999999999994,1.1188811188811127,105835616.438356,10693551.30821916,8469635.696321147,855765.6385295164
GNX,5,CCCAGG,GNX,USD,4,0.01642788,1546196662,0.0,0.0,0,0.0,0.0,0.0,0.0,0.01619541,0.01666035,0.015459255,0.01588545,0.01666035,0.015459255,OKEX,0.0,0.0,0.01642788,0.016466625,0.016389135,0.00054243,3.414634146341464,0.0002324699999999985,1.4354066985645841,650000000.0,10678122.0,11584705.781488517,190312.15641359956
RFR,5,CCCAGG,RFR,USD,4,0.002115815,1546196664,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0021591375,0.0022206275,0.002099045,0.0022457825,0.002272335,0.0020641075,Bibox,0.0,0.0,0.002115815,0.002115815,0.002115815,-0.0001299675000000001,-5.787181082762916,-4.332249999999989e-05,-2.00647249190938,5000000000.0,10579075.0,10801006.949826088,22852.932519546284
NLG,5,CCCAGG,NLG,USD,4,0.025377975,1546196664,0.0,0.0,0,0.0,0.0,0.0,0.0,0.02502927,0.026152875,0.024060645,0.024758055,0.026152875,0.024525585,BitTrex,0.0,0.0,0.025377975,0.025377975,0.025377975,0.0006199199999999995,2.5039123630672906,0.00034870500000000124,1.393188854489169,415032420.0,10532682.3789495,225875.86877848054,5732.272150963559
LEND,5,CCCAGG,LEND,USD,4,0.00805896,1546196664,0.0,0.0,0,0.0,0.0,0.0,0.0,0.007942725,0.00813645,0.007865235,0.00790398,0.00813645,0.007865235,Binance,0.0,0.0,0.008020215,0.00805896,0.008020215,0.00015498000000000074,1.9607843137254994,0.00011623500000000099,1.463414634146354,1299999941.70317,10476647.53018818,8259310.653525036,66561.45418433212
RVN,5,CCCAGG,RVN,USD,1,0.0136383456,1546196662,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0140257986,0.0140257986,0.0132121473,0.0140257986,0.0141807798,0.0132121473,Binance,0.0,0.0,0.0136770909,0.0136770909,0.0135996003,-0.0003874529999999994,-2.762430939226515,-0.0003874529999999994,-2.762430939226515,765540175.148322,10440701.479357347,61387657.21129779,837226.0846220115
CAS,5,CCCAGG,CAS,USD,4,0.010387728,1546196650,0.0,0.0,0,0.0,0.0,0.0,0.0,0.009228881999999999,0.010387728,0.009228881999999999,0.009926981999999999,0.010387728,0.009186996000000001,HitBTC,0.0,0.0,0.010387728,0.010387728,0.010387728,0.00046074600000000146,4.6413502109704785,0.0011588460000000016,12.556732223903195,1000000000.0,10387728.0,660700.0,6863.1718896
QRL,5,CCCAGG,QRL,USD,4,0.15947442,1546196664,0.0,0.0,0,0.0,0.0,0.0,0.0,0.1588545,0.16466625,0.15590988,0.155793645,0.16466625,0.1557549,Upbit,0.0,0.0,0.1635039,0.1635039,0.15908697,0.0036807749999999972,2.3625963690624205,0.000619919999999996,0.39024390243902185,65000000.0,10365837.3,1785978.5530026348,284817.89387253445
MDS,5,CCCAGG,MDS,USD,1,0.0051777375,1546196664,0.0,0.0,0,0.0,0.0,0.0,0.0,0.005151185,0.00539435,0.0049792925,0.0053230775,0.00539435,0.0049429575,HuobiPro,0.0,0.0,0.005173545,0.005193110000000001,0.005165159999999999,-0.00014533999999999988,-2.7303754266211584,2.6552499999999736e-05,0.515463917525768,2000000000.0,10355475.0,20460399.276833918,105938.57660063585
NMC,5,CCCAGG,NMC,USD,4,0.70167195,1546196664,0.0,0.0,0,0.0,0.0,19.78195196,8.47864635468708,0.73886715,0.7609518000000001,0.6160454999999999,0.71639505,0.73576755,0.67919985,Poloniex,0.0,0.0,0.7365424500000001,0.7365424500000001,0.70167195,-0.014723099999999989,-2.0551649540292036,-0.037195199999999984,-5.034084950183532,14736400.0,10340118.523980001,16630.747398000036,11663.92716226022
SNM,5,CCCAGG,SNM,USD,4,0.022975785,1546196664,0.0,0.0,0,0.0,0.0,0.0,0.0,0.023208255,0.02417688,0.022045905,0.02340198,0.02417688,0.022045905,Binance,0.0,0.0,0.02285955,0.022975785,0.02285955,-0.00042619500000000074,-1.8211920529801355,-0.00023247000000000198,-1.0016694490818114,444000000.0,10201248.54,7541090.33050004,173262.47009914785
WPR,5,CCCAGG,WPR,USD,4,0.013599495,1546196671,0.0,0.0,0,0.0,0.0,0.0,0.0,0.01301832,0.01379322,0.012902085,0.013057065,0.013831965,0.012824595,HuobiPro,0.0,0.0,0.013522005,0.013599495,0.013522005,0.00054243,4.154302670623145,0.0005811749999999997,4.464285714285713,745248183.096774,10134998.939783663,23302010.46805701,316895.574850289
META,5,CCCAGG,META,USD,2,0.00505895,1546196664,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00483535,0.005212675,0.00410865,0.004905225,0.005212675,0.00410865,Kucoin,0.0,0.0,0.005128825,0.0051428,0.005044975,0.0001537250000000004,3.1339031339031416,0.00022360000000000001,4.624277456647398,2000000000.0,10117900.0,36679122.9456,185557.84902564314
XWC,5,CCCAGG,XWC,USD,2,0.03982986,1546196664,0.0,0.0,0,0.0,0.0,0.0,0.0,0.04168962,0.043355655,0.038861235,0.04083723,0.043355655,0.038861235,LBank,0.0,0.0,0.04013982,0.041030955,0.03982986,-0.0010073700000000005,-2.4667931688804567,-0.001859759999999995,-4.460966542750918,250364844.19257,9971996.693111876,2381448.2849046737,94852.75178499328
BKX,5,CCCAGG,BKX,USD,4,0.0247586301,1546196646,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0246811383,0.0254173104,0.0239837121,0.0246036465,0.0251073432,0.0239449662,HitBTC,0.0,0.0,0.0247586301,0.0247586301,0.0247586301,0.00015498360000000197,0.6299212598425278,7.749180000000272e-05,0.31397174254318216,400000000.0,9903452.040000001,4459834.684370437,110419.3972574779
